tweet,Content
@COMMENTATOR @AUTHOR Why did Muhammed r*ped a little girl?,HOF
"@COMMENTATOR @AUTHOR Tum madersha chaap ko Muhammad ki history pata nahi pictures ki baat chodo photo se gala kaat dete ho
To tum bdk hamari history pe gyan pail rahe ho",HOF
"@COMMENTATOR @AUTHOR Says the one whos religious faith doesn't allows women to even visit there own mosque for namaz.....jao bho-sri wale chicha kahi jake bakri k saath muh kala karo yaha gyaan mat s'hodo...by the way why there's only allah why there's no ""ALLHEE""",HOF
"@AUTHOR Okay 

Are we in India or China?
#AskModi",HOF
@COMMENTATOR @AUTHOR U should go to China and see what happens there...u will some crying and running back to India,HOF
@AUTHOR Rnd***,HOF
@COMMENTATOR @AUTHOR Apne ammi ki baat  kr raha he ????,NOT
@AUTHOR ??????? ??? ?? ????? ???? ??? ????? ????? ??? ?? ??? ?? ?? ???? ???? ???? ???? ??? ???? ??? ??,HOF
@COMMENTATOR @AUTHOR ????????,HOF
"@COMMENTATOR @AUTHOR MUSLIM name ki khubsurti ka andaza is ßaat se lga k humko kisi k mazhaß ko ßura ßhala ßolne ko nhi kaha gya h ,,, warna jo sadhu sant sadko pe nange ghumte h us se hi patà chal jatay k balatkariyo ka dharm kitna nanga h.",HOF
"@COMMENTATOR @AUTHOR History Monuments kon banaye zara uspe nazar dekhle Ex:- Taj Mahal, Lal Qila, Qutub Minar, Charminar aur kayi Hospitals , universities abi b Muslims mughals aur Nizam ke pe hi hai",NOT
"@AUTHOR No matter how many lies you say to the world, it will be Babri forever!!!

Monument of falsehood or any other monument built on the Babri land can never erase the memory of Babri from India's hearts.

Let's rebuild Babri

#StriveTillBabriMasjidRebuilt
#BabriMasjid #BabriZindahai @URL",HOF
"@COMMENTATOR @AUTHOR Bro siva manidir on sivjis name ,Makka and madina on prophet Muhammad's name ,Ram mandir on Ramjis name because they are our faith or emotion but...who is Babar whose name you all r claim a mosque because ""except Allha or Muhammad there is nothing to be accepted in Islam""",NOT
"#6DecemberBlackDay
#ShauryaDiwas  ??
#BabriMasjid

You call it demolition. 
We call it restoration. 
We are not same dude !! ??

 How It started             how its going @URL",HOF
@AUTHOR Kon sa terrioist organization sa ho,HOF
@COMMENTATOR @AUTHOR Islam,NOT
@COMMENTATOR @AUTHOR IT cell,HOF
@COMMENTATOR @AUTHOR Wahi organization jisme tera pura khandan hy....,HOF
@AUTHOR And you guys are start crying when bangladeshi muslims Broke down mandirs  ????,HOF
@COMMENTATOR @AUTHOR nah dude you guys cry when i take the name of nrc and caa,HOF
"@COMMENTATOR @AUTHOR And you guys crying for Triple talak, article 370, CAA, babri masjid",HOF
@COMMENTATOR @AUTHOR No mandir was demolished by bangaldeshi muslim. Mondop was demolished.mondop and mandir isn't same. It was happened for Indian Hindus fell0w. They aren't wrose like Indian hindutava and andhbakt.,NOT
@COMMENTATOR @AUTHOR Na we don't we are busy preparing for Mathura get ready for the bang,HOF
@AUTHOR Jay Shree Ram??????,HOF
"@COMMENTATOR @AUTHOR By destroying  a mosque.. 
they laid the foundations
 for the destruction of our Constitution and our Republic, 
for few HINDU votes
Absolutely dirty politics",HOF
"@AUTHOR In Sha Allah we'll demolish it one day 
#allahuakbar",HOF
"@COMMENTATOR @AUTHOR Nothing bad in dreaming so, keep dreaming #Madarsachap",HOF
@AUTHOR I call it terr0rism.,HOF
"@COMMENTATOR @AUTHOR Abu Sayyaf, Philippines

Al-Aqsa Martyrs' Brigades, Gaza Strip and West Bank
Al-Gama'a al-Islamiyya, Egypt Al-Qaeda, worldwide
Al-Shabaab, Somalia
Ansar al-Islam, Iraq
Ansar al-sharia, Libya
Armed Islamic Group (GIA), Algeria
Boko Haram, Nigeria
Ye sab toh peaceful organization h",HOF
@AUTHOR Nafrat andha kaise karti hai iska aaj saboot Hindustan me saaf nazar ara.. We mourn 6th December as black day in Indian history..,HOF
@COMMENTATOR @AUTHOR Ram mandir ke upar masjid kisne kaha tha humlog Ajmer Sharif yah phir inke upar mandir banane ke liye nahi bol rahe hain humlog aapne woh sare pavitra stano par pirse mandir jo tumlogo toda tha,HOF
@AUTHOR Not that sad about #6DecemberBlackDay @URL,HOF
"@AUTHOR ??????? ????? ???? ?? ???? ?? ?? ???? ?? ??? ????? ????? ?????? ?????? ( ????? ???? ?? ???? ?? ??? ?? ???? ???? ????? ???? ) ?? ???????? ?? ????? ?? ??? ??? ??
???????? @URL ???? ?? ?????????? ???? ?? ????? ????? ???? ?? ???? ??????",NOT
"@AUTHOR ??????? ????? ???? ?? ???? ?? ?? ???? ?? ??? ????? ????? ?????? ?????? ( ????? ???? ?? ???? ?? ??? ?? ???? ???? ????? ???? ) ?? ???????? ?? ????? ?? ??? ??? ??
???????? @URL ???? ?? ?????????? ???? ?? ????? ????? ???? ?? ???? ??????",HOF
"#?????_????
#BabriMasjid 
Never seen any politician with such clearity of mind. Remembering the real hero Kalyan Singh Ji.
He was, he is and always be a hero.
RIP Legend @URL",NOT
@AUTHOR Almighty give him he'll Amen ??,HOF
@COMMENTATOR Kutton k bhounkne se savera nahi hota hai.,NOT
@COMMENTATOR @AUTHOR Just like he gave halala to your mother oh sorry allah is he or she what ever,HOF
"@COMMENTATOR @AUTHOR Baap mar gaya Andhere me, bete ka naam “power house” wahi haal h apka.. abhi dhang se 1500 saal bhi nahi hua??",HOF
"@AUTHOR #ShauryaDiwas #?????_???? 
Jay Shree Ram ?? @URL",NOT
@COMMENTATOR Jai Shree Ram my frnd????,NOT
@AUTHOR Kutta,HOF
@COMMENTATOR Apne papa ka naam yaha nahi batana tha,HOF
@AUTHOR ???? ?? ???? ?? ??? ?? ??,HOF
@COMMENTATOR ??? ?? ???? ? ??? ?? ???? ???? ????? ?? ?? ??? ???,HOF
"HINDUS &amp; HINDU CULTURE SURVIVED
@ 500 YEARS OF MUSLIM RULE

BUT 7 YEARS OF BJP RULE
@ HINDUS AT RISK WORLD WIDE

TALIBAN
@ DESTRUCTION OF BUDDHA STATUES

BJP
@ DESTRUCTION OF MOSQUE

WHAT IS DIFFERENCE??

#Ayodhya @URL",HOF
"We have neither forgotten their martyrdom nor can we ever forget??
#?????_????  #JaiShreeRam  #Ayodhya @URL",NOT
"@AUTHOR ????? ???, ?? ???????",NOT
@COMMENTATOR ?? ??????? ????,NOT
@AUTHOR ????????????????,NOT
@COMMENTATOR Jay shree ram ????,NOT
@AUTHOR Hume apne aas paas k logo me aise logo ke naam aur karyo ke bare me batana chahiye?,HOF
@COMMENTATOR Zarur ??,NOT
@AUTHOR Jo bechare karsewak mare un ko kya Mila ?? Jis Tarah harami Muslim (mullo) ko Marne pe jannat milti hai tum ko Bhi dharm ke liye Kuch milta hai kya ?,NOT
"@COMMENTATOR @AUTHOR mila 
ram mandir 
jai shree ram",HOF
@AUTHOR ?? ???? ???,HOF
@COMMENTATOR ?? ???? ??? ??????,HOF
@AUTHOR atankwadi,NOT
@COMMENTATOR Peaceful religion definition ??,NOT
"@AUTHOR #ShouryaDiwas 
#JaiShriRam 
Jay shriram",NOT
@COMMENTATOR Jay shree ram ??,NOT
@AUTHOR ?? ???? ??? ???????????????,NOT
@COMMENTATOR Jay shree ram ??,NOT
@AUTHOR Accha huwa inke saath,NOT
@COMMENTATOR Babari ke sath pura likh,HOF
@AUTHOR Must be burning in hell,HOF
"@COMMENTATOR @AUTHOR Their Gods are different from your God, they did not believe in your God, so your God doesn't have any jurisdiction over them and hence your God have no right to pass an order on them to burn in hell.",HOF
"#Ayodhya
Balraj Yadav Was leading a small group of Karsewaks who were the first to breach security &amp; climb Babri on 6th Dec.Muzlims stabbed him to death on 16th December 1992 in Hydrb.
It's because of RamBhakts like him that dream of crores of Hindus is finally becoming reality. @URL",NOT
@AUTHOR Shame upon him,HOF
@COMMENTATOR @AUTHOR Pride of Hindustan ??????,HOF
@COMMENTATOR @AUTHOR Shame on you and your community for illegally building mosque over a sacred Hindu Mandir. Babur shall rot in hell!,HOF
"@AUTHOR They don't want educational institutions, no medical colleges, no good roads and modern infrastructure...they just care to build Mandir and Masjids and never really go there to pray with sincere heart but to show others down. Shame on THEY. THEY exist in both Hindus and Muslims.",HOF
"@COMMENTATOR ?????? ??? ???? ????? ???? ?? ????? ??? ??,
?????? ?? ???????,????? ??? ??,??? ???? ?? ?????? ????? ?? ??? ???? ?? ??? ???
??????? ??? ???, ?? ?? ?? ????? ??????
??????????",NOT
@COMMENTATOR @AUTHOR Just return our mandirs unpon whose ruins u made ur prayer halls ..... just a few thousands ... not a lot ... and then do gyan,NOT
@AUTHOR Gowar bna Brahman,HOF
@AUTHOR ??? ????? ??? ?? ?? ?????? ?? ?? ?????? ?? ?? ???? ??? ?? ???? ???????? ??  ????? ??,HOF
"@COMMENTATOR ?? ???? ??? ??,?? ??? ???? ???? ?? ???? ????? ????? ???
???? ???? ???? ????? ?? ?????",HOF
"To all those crying over #6DecemberBlackDay, 

Just imagine, if Muslims felt bad after seeing 1 Masjid demolished, just imagined how Hindus would have felt after seeing the destruction of thousands of temples, killing of thousands of devotees, all over India over centuries.",NOT
"@AUTHOR you can buy something reliving here, Also in case of emergency just rush to the nearest pharmacist. 

@URL",NOT
@AUTHOR @USER Kya baat kar rahe? Kuchh din pehle tweet nahi dekha tha...pooja to ghar me kar sakte hain. Babur-mir baqi ne bhi yehi kahaa hoga...pooja ghar me kar lo,NOT
"@AUTHOR @USER One correction, not thousands of devotees... Tens of millions.. as per Will Durant's estimate, 80 Million Hindus killed/converted in last millennia",NOT
"@AUTHOR That happened before india was a democracy, before india was a country. What if the Dalits begin to avenge for centuries of torture? Princely states used to fight each other, what if different regions start fighting citing the past? Where does it stop?",NOT
"@AUTHOR If really muslims demolished, your temples and killing 1000 of devotees, If it's really happend you will also be a Muslim. But unfortunately muslims never Do. Mughals have the power khilji have the power we rule 800ys but mostly hindus have majority today why?",NOT
@AUTHOR @USER Wokes : @URL,HOF
"@AUTHOR Babri masjid demolition has a big shame of our secular country.
Attack on Babri Masjid was an Attack on India Secularism, Constitution, Fraternity and Judiciary!",NOT
"@AUTHOR #6December1992 #BabriMasjid was illegally demolished by terrorist organizations which resulted in several months of intercommunal rioting between 2 communities in India, causing the death of at least 2,000 people.",HOF
@AUTHOR Built hospital not masjid.,NOT
@AUTHOR imagine even how hindu felt when they knew that some like ISIS exist i their own religion thats called Hindutva…,HOF
@AUTHOR So your picturising this as a revenge..? At that time did we have a concept of India as a country..?,HOF
"@AUTHOR Aap zara hume bhi to bata do koi 500 years ya 600 years purani history jisme apki mandir todi gai 
Abhi wale kutto ki book my dikhana history dikhana proof ke sath book name and kaha se print hui",NOT
"@AUTHOR @USER first of all mosque is just a prayer hall. so there should be no comparison of a consecrated temple with a living diety to just buildings people pray in groups?? like Church/Mosque plus Hindu temples are technically not place for ""praying""",HOF
"@AUTHOR Bro you have false information.. 

Because everything of yours is  imagination ..

For example.. 

The temple is making of savarkar ??

Your children will tell that this is god.. 

Talk on truth base",NOT
"@AUTHOR HinduGods, They could not save themselves, Shiva murdered his son, Ganesha, they could not identify their own relationship. Krishna, Arjuna mass murered 1.66billion hindus single war, Kurukshetra all in 18days",NOT
@AUTHOR Tum chutiyon ko koun samjhae ... Masjid me Allah aur Mandir me bhagwaan Nahi hote.. god har insaan ke Dil me hota hai.. agar ishwar (Allah) Dil ma Nahi hoga to sirf nafrat hogi Dil me.,NOT
"Babri Masjid was alive in our hearts, and will be alive forever.

We will built it again.
InshaAllah??
#BabriMasjid 
#6DecemberBlackDay 
#BabriZindaHai @URL",NOT
@AUTHOR Ab Mathura vali ki jagah b bna lo heart me,HOF
@COMMENTATOR @AUTHOR ????,HOF
@COMMENTATOR @AUTHOR Kitni jagah banayega tum pir Varanasi pe aaoge.,HOF
"The Supreme Court said that the demolition of Babri Masjid was illegal, so why has the person who demolished the mosque not been punished till now?

@USER

#BabriMasjid
#6DecemberBlackDay",NOT
@AUTHOR @USER Why Muslim leaders do not talk about Pradhan Mantri Ujjwala Yojana (PMUY)? Schemes like these have the potential to change the lives of minorities. Why issues like Mandir-Masjid are at the forefront always?,NOT
@COMMENTATOR @AUTHOR @USER Vho khaege toh koi vote nahi dega agar Majid ki bat ki toh vote dege log,HOF
@COMMENTATOR @AUTHOR @USER Wah bai bohat din ke badh ek achi message replay pada public ke liye use hone ki.,NOT
@AUTHOR @USER First go to jannat and ask to babr why first he demolish lord Rama temple .????,NOT
@COMMENTATOR @AUTHOR @USER Faisla kis base pr hua ye batana pehle koi sabut nhi tha..... ????,NOT
@COMMENTATOR @AUTHOR @USER There would be a time when you filthy hindus will claim Taj mehal was also some hindu worshiping dirty place ??,NOT
@COMMENTATOR @AUTHOR @USER Lol there is no jannath because it's fake cult and they're all blind sheeps,NOT
"@AUTHOR @USER Hypocrisy.
Lawlessness state.",HOF
@COMMENTATOR @AUTHOR @USER No proff of ram mandir.. There.. That's what even high court said..,HOF
@AUTHOR @USER Jai shree ram.... jhut ki neev kabhi n kabhi koi ukhad hi dega.....intezaar krriye....abhi bohot kuchh dekhna he,HOF
@COMMENTATOR @AUTHOR @USER Haan wo humne dekha Hai Bangladesh main abhi,HOF
@AUTHOR @USER #6DecemberBlackDay,HOF
@COMMENTATOR @AUTHOR @USER Can u explain this intellectual? @URL,HOF
@AUTHOR @USER Prof kisne banaya??,NOT
@COMMENTATOR @AUTHOR @USER madarsa ka profesor hai vo..tuh samajh jao kitna gyaan hoga,NOT
"@AUTHOR @USER Supreme Court said that the construction of Babri Masjid was illegal. 
So why is so much support for the mosque till date?",NOT
@COMMENTATOR @AUTHOR @USER ?????? ????? ?????? ?? ???? ???? ???? ???? ??????,HOF
@COMMENTATOR @AUTHOR @USER Batao batao,NOT
"????? ?? ?? ?????? ??? ???? ??? ???? ?? ???? ?? ?? ????? ???? ????
#BabriMasjid #BabriMasjidDemolition",NOT
"@AUTHOR ?? ?????? ???? ?? ????? ????? ?? ????? ?? ??, ???? ????? ?????? ??????",HOF
@COMMENTATOR @AUTHOR ????? ?? ?????? ???? ?????? ?? ??? ??? ??,NOT
@COMMENTATOR @AUTHOR ?? ??? ??? ????? ?? ?? ?? ??? ????? ?? ??? ???? ?? ????????? ?? ????? ?? ?? ?? ?? ??? ?? ????????? ?? ????? ???? ?,HOF
@COMMENTATOR @AUTHOR Matlb @COMMENTATOR aap ki nazar me masjid Tod kr mandir banwaya gaya wo sahi hai kya ?or aap kitne sachche musalman hai ye sabko pata hai ...khair. Qayamat me aapke aamal aapka hisab karege inshaallah,HOF
"@COMMENTATOR @AUTHOR ???? ?? ??? ??? ???? ?? ????? ?? ???????, ???? ?? ??? ???? ?? ???? ????? ???? ??? ?? ?? ???? ?? ???? ?? ????.. @URL",HOF
@COMMENTATOR @AUTHOR Tera aaba dekha tha todte hue...ya fir WhatsApp knowledge,HOF
@COMMENTATOR @AUTHOR ?? ?? ????  ????? ?? ??? ???? ? ??? ??,NOT
@COMMENTATOR @AUTHOR Tumhe maloomat rakhni chahiye toda tha ya nhi,HOF
@COMMENTATOR @AUTHOR ???? ?????? ?? ??? ?? ?? ??? ?? ?? ????? ???? ?????? ?? ??? ?? ?? ???????? ??? ???? ??????? ?? ?? ????? ?????? ???????? ??? ?? ????? ???? ??? ?? ??? ??,HOF
@COMMENTATOR @AUTHOR ????? ??????? ?? ?? ?????? ??..,HOF
@COMMENTATOR @AUTHOR To Supreme Court ne kyun nahi maana? Kya Supreme court ne jo kahan tha woh ghalat tha? Rajniti kariye aap lekin sach se koi paray nahi ho sakta.,HOF
@COMMENTATOR @AUTHOR ?? ?? ????? ??? #Babar ?? ???? ?? ???? ????????? ???????? ?? ?? 1528 ??? ???? ?? ?? #BabriMasjid ?? ??????? ??? ????? ???? ?? ?? ?? ???? ??? ???????? ?? ?????? ???? 6 ?????? ?? ????????? ?? ????? - ?? ?? ??? ??????,HOF
@COMMENTATOR @AUTHOR ???? ???? ???? ?? ???? ??? ??? ???? ???? ??? ???? ?????? ???? ??? ?? ?? ?????? ?????,HOF
@COMMENTATOR @AUTHOR ???  ??  ????? ????? ?? ????  ???? hai,HOF
"@COMMENTATOR @AUTHOR ??? ???? ??? ?? ?????? ?? ???? ??  ????? ??, ?? ?????? ?? ??????? ?? ???? ???? ??,
????? ????? ?? ?????? ??? ???? ??? ???? ???? ?? ??? ???????? ???? ??? ?????? ????? ??? ???, ????????? ????? ????",NOT
"@COMMENTATOR @AUTHOR Aapko kishne kaha,L.K.Advani ne",HOF
@COMMENTATOR @AUTHOR ????? ?????? ?????? ???? ??........ ?? ?? ???????? ?????? ?? ?? ?? ??????????? ????????? ?? ?????? ???? ??... .?? ?? ?? ??????? ????? ?? ?? ?? ????? ??? ???? ?? ???????? ?? ?? ????? ??????,HOF
@COMMENTATOR @AUTHOR Were you even alive that time?,NOT
@COMMENTATOR @AUTHOR Rais bhai ispe nhi bolengi ye,HOF
"@COMMENTATOR @AUTHOR ???? ??????? ?? ????? ?????? ?? ???? ???? ??? ?? ?? ??????? ?????? ???? ??? ?????, ???? ?????? ?? ????? ?? ???? ???? ?? ??? ?? ??",NOT
@COMMENTATOR @AUTHOR Secular hai tu,HOF
"@COMMENTATOR @AUTHOR ???? ?? ???? ??? ?? ‘????’ ???? ????? ??? ???? ?? ??? ?? ????? ???
????? ???- ??? ??? ?? ????? ???? ?? 16,000 ??????? ?? ?????????? ?????? ????? ??? ?? ?? ??????? ?? ?? ?????? ??????
????? ???- ??? ?? ??? 5000 ??? ?????? ?????? ?? ???? ????? ?? ?? ??? ?? ???? ???? ?? ???? ?? ????",HOF
