id,label,tweet
115,0,oreey tere height ku tu karte soh nautanki ku koi sambandh hai
116,0,kuch nahi hota jisko jo karna hota hai wo karta hai kahi kuch nahi hota
117,1,ye baat to haiyogi thakurwadi hain
118,0,arey kehna kya chahte ho
119,1,kya lalantop madarchod dalali ka dhandha kaisa chal raha hain
120,0,i born sikh but tell you love yogi gee  need him as pm for sure
121,0,yogi ji love you sir  sahi kaha aapne 
122,0,jai shri ram  yogi  adityanath
123,0,dalalii and journalism is complementing each other
124,0,ye mahraj ji ki sarkar h yanha jati dharm majhab ke naam se karywahi nhi hoti jo galat h uspr buldozer chala h kuntu singh par krwaywahi hui use to koi nhi kah rha h
125,0,jai shri ram 
126,1,yogi ji baba in mula ke bap he sambal ke rahe sare atankvadi mule
127,1,they are not kiling they are cleaning 
128,0,kattar hindu sher  shri yogi adityanath g maharaj
129,0,ham hindu hai jai shree ram
130,1,it is exceptional  otherwise this man never disappoints 1857          
131,0,12th century kalyan kranti we came in todays hyderabad karnataka region where  prime minister of kalyana chalukya called basavanna did it but not in a so harmful manor it is in the form of literature called vachan and it is greatness of india
132,0,1857 ki kranti 
133,0,is jankaari se desh ka vikaas kese hoga ye to bataiye sudhanshu ji 
134,1,kranti mai hissa liya ho tab na kahoge andhbhakto k google baba khde tho aap angrejo k sath the bhagat singh rajguru ramprasad bismil jaise mahan krantikari ka apman karna google baba se seekhna chahiye
135,1,bharat me hindu nhi to muslim rahega kya 
136,0,kabhi kabhi confuse ho jata hu ki ye insan hai yaa google 
137,1,isko bolo rajniti chhod ke baba ban jao ges ka bhav kab kam hoga petrol desel ka bhav kab kam hoga ispe koi knowledge nahi
138,0,jis din yogi ji pm bne aur sudhanshu sir ko cm bna diya gya to koi mai ka lal hindu rastra bnane se koi nhi rok skta hai  jai shree ram 
139,0,1857 ki kranti
140,0,sudhanshu ji ki jai ho
141,1,koi logic hai iss baat ka matlab social revolution is equal to celestial objects motion o bhai maaro mujhe maaro
142,0,lajawab analysis
143,0,sir aapke pass knowledge bahut hai but saare knowledge kisi party ke liye achha nahi lagta
144,0,1857 me kranti hui thi
145,0,kha se late etna gyan sir aaj ka time m aapky jase vdvano ki jrurt h das ko
146,0,kya batt boli he koi soch bhi nhi sakta
147,0,sundhansu ji hindu dharm ki jewel he owhi nehi owo viswa mein bada gyan he
148,1,kya fekta hai   
149,0,har har mahadev 
150,1,dharam ki rajniti koi ense sikhe dharm par rajniti nhikarte chamche modi k public ko gumraah karne wale
151,1,aap kaha the guru dev      kuch bhi chutiya banao hinduon ko
152,0,aankhon mein thor jaisa bijlee ka effect daalna zaroori tha kya
153,0,jay hind sir
154,0,1857 me hamare poorvajon ne jivan lagaya vo kya kranti nahi thi sudhansu ji  radhe radhe
155,0,1857 ki kranti nai suni apne
156,0,sudhanshu trividi my favourite person
157,1,makkaro ka makar jaal   
158,0,i love india       
159,1,bakchodi karne mai no1 hai manipur pe log puch rhe ye nirbhaya pr aa gya iss lia pehalvan aur aurat kai gangrape ho rhe hai
160,0,krantikaris left the chat  
161,1,tum bsdk politicians hi krantiveer hi taiyyar kr rhe ho agniveer nahi
162,0,kattar soch hamesha downfall lata hai fact
163,0,hindu wo nahin ki uske mata pita hindu hain to unka beta bi hindu ho gaya hindu dil se hota hai dil se atma se
164,0,sahi bole dadu
165,1,flag of   golf use kiya hai chutiye tune bsdk bevkuf teri maa ka bhosda sanatan dharm ka flag  hai main bhi pehle ye hi use krta tha  sudhanshu trivedi ke liye    
166,0,good
167,0,kitna jutha hai ye insaan hamare sahido ka apmaan kr rha hai itni kranti huyi hai aajadi ki ladai me  btt iski glti nhi hai ye chspluss log kha krnti ke baare me damjhege afsos hai ki aisi baat ko seena taan ke bol rha hai bsdk
168,0,jo hindu granth ko padhega wahi bahas kr sakta hinduon ke liye apko sat sat naman hai
169,0,anupam kherji inka biopic kar skte hai
170,0,jai shree ram ki jai ho 
171,1,ek galt lutre daku arab turk etc make shaitan book name kuran konsa  aalah rape chor i khun kharaba  masum logo ki bhedbhav sikhata ye sab aalah karta aisa bolta ye kuran ka gandha sach so ex eslasm movement zindabadh slasm leave insaan banojay sanatan dharam 
172,0,true lines sir
173,0,bss mujhe aapke jitna knowledge lena hai he field kaa
174,1,reality of rapist hindu gods  1 shiva and parvati  shiva married his sister parvati  87  purana  comments  reference shiva purana devi bhagavata  2  ahma and saraswati  purana   ahma married his daughter saraswati  reference  ahma purana padma 3 krishna and rukmini  krishna married his sister rukmini  reference srimad bhagavatam  4 yama and yami  yama married his twin sister yami  yamuna parva  reference mahabharata anushasana 5 agni and swaha  agni married his sister swaha reference rigveda mahabharata 6 indra and indrani  indra married his sister indrani shachi reference mahabharata puranas  7 vayu and anjana  vayu married his daughter anjana reference hanuman chalisa
175,1,kattar hindu
176,0,jay shree ram 
177,0,jai bhawani   
178,1,allah ki ghar wapsi
179,1,haan hamare hi bete khud ko baap bole rahe hain
180,1,ab kya hi bolu mai pahle kaha tha kattar hindu bjp sarkar se pahle
181,0,maharashtra me esa hi hota hai
182,1,yogi ji ke ane par dargah totke mandir  banaya jayga fir hogi aarti aarti kije hanuman lla ki           
183,1,hamare up me  majar me yogi ji jate nhi balki 23 jcb bhej dete hai majar ko durst karne ke liye 
184,0,i am also going dargah from my childhood every year now 20 years completed    dargah 
185,0,jnu  agar maharastra me hota to bawal ho jata pira 
186,1,at first place construction of mazaar is haram it is nothing  but land grabbing technique by these jihadist
187,0,beta kattar hindu ko na ye bhi pata hona chahiye ki purano mein likha hai ki kisi bhi dharm ka virodh nahi karna chahiye  jai shree ram
188,1,shide ji rocked  mulle sare shocked
189,0,meaning of kattar hindu
190,1,gand fate rahul papu ki tho 
191,1,ye kattar  hindu hi kar sakte hai
192,1,father to ham he 
193,0,ha tabhi modi ji jaate hai
194,0,hindu is best
195,1,kattar hindu toh wahha jayegahi naa aur naa kisi turkmulle ka grave ka aarti utartha
196,1,ye bhi muslim programme mai gya thaa andhbhakto churano dekh liya karo achese
197,1,rahul gandhi is not hinduhe is christian
198,1,aimim aur congress ham musalman aur hindu chhote caste waalo ki sarkar hai hindutwa aur upper caste hinduo ka namo nishan mita denge 
199,1,chad shinde  1  maulana pappu  0
200,1,gay free ram
201,1,jnu ko up ya maharashtra mein hona chahiye tha       
202,1,mullo ki ma chud gyi
203,1,haan dusre ke dharm ki ijjat na karna hi to kattar hindu khate hai  or agar yahi ek muslim kare to mandir me maans le jaye to  usko maar dalo na
204,1,bakchodi  999 views ke liye kuch bhi be indian hamare desk ke log ki ijat khud nahi karte
205,1, nice try masterstroke wadi but chaddar to dusra bhi chda rha h rang se kya fark padta h hypocrisy
206,1,dekha  o kattar hindu bhi khwaja ke darbar me aate he kyu ki vo ek achchhe hindu he naa ki koi nastik 
207,1,chutiya  pariwar
208,1,abe yaar ye toh aarti kar rahe hai masjid me 
209,0,plzz  save west bengal mamata banerjee demographics changes kar ra ha hain  plzz help us amp west bengal
210,1,politician  name who made arti in masjid
211,0,eknath shinde has blood of maratha
212,0,par ye kabar pe jana hi kyu
213,0,eknath shinde be like  hamaare yaha aisa hi hota hai 
214,0,god is one
215,1,hindu drohi khan gress
216,0,wah sinde saheb
217,0,mza aa gya 
218,0,shinde ji  ek maratha lakh maratha 
219,1,rahul gandhi hindu hai maa italian aur baap muslim
220,1,are bc  ye kya tha 
221,0,balasaheb thackeray be like  yeh to maine bhi nhi kiya kbhi 
222,0,khatarnaak  jai maharashtra jai chatrapati shivaji maharaj   maza aa gaya
223,0,eknath shinde ji ke liye dil mai respect badh gyi aaj   
224,1,abe chomu
225,0,ye kya sense hai bhai iske piche inko mandir kam padra hai jo majaro per jake arti utar rhe hai directly indirectly ye log pooja to majar ki hi kar rhe hai na
226,1,teri ma ki chudd sale madar choddd what are you showing what fxxk you entire family making differentiation between human kind and mostly imp thing gods doesnt make any difference who the creepy fxxk you indian are rapiest country
227,0,a href  modi power real video
228,1,allah ki ghar wapsi 
229,0,bhagvan 1 hai name asnekhai har har mahadev
230,1,akhir aana hi pra tum logo ko mzaar  kiyu 33 crore km pr gye kiya
231,1,hanuman pagla choda
232,1,bhai yeh navnatho mai se macchindranath baba ki samadhi hai mullo ne kabja kar rakha hai bohot controversal site hai mh ki malangad kalyan mh
233,1,aarti kabber vala shock ne 
234,1, kuch din up aao bundelkhand fir dikhate hai hindu kya hai babu  har har mahadev
235,1,maharstra mai shirf kaatar hindu hi 
236,1,bihar me to hinduo ne isse kahi jada nuksaan kiya us pr tum news nhi bnate jb dekho tk muslimo ke piche par jaate ho
237,1,andhabhakth gang
238,0,b j p pat ek hi tarika ha hindu muslim zagra karao aur b j p sarkar banao bjp ki yei chal ha
239,1,msmta ko kalla pani jail me dallo chabhi samandar me fek do
240,1,ye logo ko pakistan ya bangladesh bhejna chahiye gandhi ki sabse badi galti har hindu bhugat raha he ab
241,0,raily ka bhi dikha raily kaha hai
242,1,shanti duto ka illaj ab zaruri ho gaya hi mamta ka sath bharpur mil raha hi inlogo ko
243,1,mamata ko hatayo
244,1,kindly put president rule  shame hindu of bengal elected mamta cleary visible  badly created riot from mazid only yogi model  is successful in up single riot to happen  nobody is above than law
245,0,only bjp in west bengal
246,1,tum log bata rahe ho patthar masjid se dala upar se    saalo bjp hvp k dallo midea walo sach bolo bohat bure maroge tum log  vadodara gujarat me hindu logo ne suru kiya ramnavmi par sudhar jao tum log muslimo ko tum bata rahe ho reli masjid k bahar se kyo le jate ho dialogue baja kar      tumare mandir k aage se ja nhi sakte suwwaro salo
247,0,danga political issue  hai  election ke okt suru hota hai  there is no question of humanity but by hook or by crook some persons want power  so communal events occurred 
248,1,ab  sidha  goli  maro  pattharbaj  par
249,0,votes for only bjp 
250,1,bhau  muslim  area  ma military  ko  bulakar   bamb  dalna  chayea  taki  total  bhau  muslam  area  hamasha  ka leya  shanti  bana  raha    ab  indian   military  ko  bada  bada  bamb  dalnaki  
251,1,yea  to  hindustan  ki  mumtaj  bagam  gundi  hai
252,1,ye sale sab                     
253,1,mamta banerjee ko mental hospital bharti kar dena chahiye ye danga unhi ki den hai
254,0,sab khela hai 
255,1,allah bhi dnagai tha ye mujhe pata hai
256,1,haridwar dharamshala chandrama ka bhosda
257,1,arvind bjp ka ped water boiling chod sale hungama ke karaya tor bahin chodo jakar dekhna tor bahin chodo
258,1,are kamina sahi tasweer dikhao
259,1,ye kutti media
260,0,sab  ahmano ka khal hai
261,1,bharat ke prasasan dhikkaragar nahisambal sakta tho foren nepal se gorkha force magalo yemuslte log ko acha dabai karlega thumlog hindu sasak log bekarka nikamba hogaya ye tharika se tho dubara muslman ka gulam des me firthabdil kar ne wale neta ban gaya
262,1,atyachari muslim ak bachya paida kore kanun bane nahi tow hindu ki khatam hoga
263,0,bhai me agar kahu to ye sahi hoga ya galt nhi pata but hum v ek muslim hai or me garv se kehta hu jai hind i love my india but ek baat gor karo ap sab agar muslim danga kiya v hai to muslim kiya etna bewakoof hai ke topi pehen kar danga karne jaega ke dekh hum muslim hai bhai sochne wali baat hai or ek baat hindu muslim kuch nahi hota hai duniya me insaniyat bolkar v kuch hota hai jo insaan hoga wo jarur sochega or samjega
264,1,hindu also  should fight back
265,1,jago hinduo jago nehi to desh chor kar vago  maro ya moro  
266,1,napungshak sarkar hone par aise hee hote rahega  
267,0,dusri party kya doodh ki dhuli thodi hai unpe bhi karvai honi chahiye tali sirf ek haath se nahi bachti
268,1,ye mamta banerjee bangal ko barbaad kar rahi hai
269,0,yugiji  is returning as  pm of  hindurastra in 2024
270,0,yugiji lao ram rajya banao
271,1,hindu ko khule aam atankwadi dhamki de rahe hai or hindu murakh so raha hai
272,1,jagoo hindu jagoo kabtak bidi aur daru pike sote rahoge
273,1,abe hindu tum sab chhaka bangalore ho kya  abe tumbhara pas kya lathi talwar nehi he kya bidi pike chhaka banagaye
274,1,jagoohindu jagooteyar hojao  katu mulleheko halala karne keliye nehito halala honeke liye teyar raho
275,1,isbar mamata didi ki aisiki tesi hogi
276,1,jo pathar baji karte hus madorchodon ko goli maro phir dekho danga nahi hoga
277,1,momota is not a hinduhe is power greedy lady
278,1,bhai muharam mai  humko bhi musalmano ko marna hai hindu log yad rakhai
279,1,hinsa ka javab paltvar karke do
280,1,muslim har jagah danga karta hai pata nahi koun sa virus iske dimag me rahta
281,1,is baat pata chalta hai ki mamta banerjee mamta banerjee nahi mamta khan hai or paschim bengal ki janta use hindu manti hai mamta khan ko jaldi se jaldi maar do nahi paschim bengal ko bangladesh se mila kar hinduo ko har roz marte rahi or koyi kuch kar nahi payega
282,0,media ko kaise mili ye video upar ki media hi hai jo hamara pyara desh barbaad krne par lgi hui hai
283,1,aby suar ka awlad aek tarfa khabar q batata hai bay varowe bjp k dallay
284,1,tum jaise  midiya vale  hi iske jimmedar hai  raat din  tum log  musalman  ke khilaf  news  chalate  ho
285,1,masjid todega mandir bhi todega
286,1,aur jitao mamta bano ko
287,0,news main dikhaya wohi jaata hai jisse dikhane ke liye uper se order diya jaata hai 
288,1,main janta tha ye media waale sirf musalman ko hi doshi thehrayega isme koi naye baat nahi hai
289,0,darm par adharm havi ho tabh bhagwan awtar lete hai wo kisi bhi rup me lenge thoda  ruko
290,0,aap inko dangi kah rahe hain musalmanon ko to jara dekhi hai mumbai ke andar shobha yatra mein raja singh ne kis prakar ka video banakar viral kiya hai to use kya kahenge aap dekhkar bataiye
291,0,mai channel se anurodh karunga kaisa dangi dangi na kahe agar aap mein sach batane ki takat nahin hai to kripya mat bataya sach bataen
292,1,nahi be patthr ki tyari pahle se karte ho tum log
293,1,to in mullo ka kya krne wali h central govt
294,1,ek baar roza rakh kar dekh pata chal jyga kon patthar chala sakta h
295,1,sanatan atankwadi hote h bhagwa gunde
296,1,jala do masjid
297,1,jin bhi makaan ya building se patthar feke jaye unpar buldozer chalna chahiye baat khatm 
298,1,ye sab mumtaz bano ke rohginya h
299,1,inko pakistan bhej do jehadiyo ko yahi ilaj
300,1,huslim aisa hi hai
301,1,in ladies ko bhi buri tarah pito haraman
302,1,seedha action lo report gayi bhad me
303,1,mamta kabhi pm nhi banegi nhi to india ko islam rastr bana degi
304,1,tajiya me talwar lekar ghumta hai to mamta didi ko sab thik lagta hai
305,1,mamta to khud ram ki birudh karti hai
306,0,election hai ye sab
307,1,kis  chutiya ko cm banaya chutiya me koyi jan hi nahi ha
308,1,lawrence bishnoi ko bahar nikalo mullo ko khtm kro
309,1,aise halat ho to police ko open firing karne k liye order ka intejaar nahi karna chahiye
310,0,ab hogi siyasat 2024 election
311,0,ye ek sochi samjhi sazish hai na monu manesar video jari karke logo ko uksata na ye ghatna hoti sab jante hai monu manesar ko sarkar ka support hai
312,0,yah sach report h monu manesar ki vajah se yah dunga hua hai
313,0,2024 tak aaishe hi chalega it is the elction year
314,0,monohar lal sirf santi ka speak kar secta apradhe ke khelaf thosh karbayee nehe agar police ko kathor nerdesh deya hota too ya ghatna nehe hota
315,0,bhai 25 crore never 100 crore king halat kharab kar di hai secularists kaha gate
316,1,army ko lga dena chahiye updravi ko goli maro saalo ko desh ki aisi taisi ker di hai
317,0,ab yahi sab hoga 24 ka chunao aa gaya h
318,0,jahar ke beez bo diya gaya h
319,1,bhosadi valo sach kyo nahi batate kya huaa
320,0,election 
321,0,bohat achchi news di hai bhai
322,0,hindu shobha yatra nikal nahi pa rahe hai or hindurastr banane ki speech di jaati hai netao dwara babao dwara
323,1,this is a new india modi hai to mumkin hai hindu rashtra mubarak ho lindu bhalto 
324,0,aree lekin wo seema ka sachin se jagdha ho gaya kya wo batao na yeh kya  batae rahe hoo mizoram me jo hua chodo hame seema ki news chaiye
325,0,lgta h cet exam or aage khiskega
326,1,monu manesar jese aatankiyon ko jab tak police bachayegi esa hi hoga
327,1,sab congress karwa raha h
328,1,jab tak rss jasi aatanki sansthaon ke khilaf action nahin hoga to esa hi hota rahega
329,1,bajrang dal jahan hoga wahan aatanki kaam hoga
330,1,sale mulo ko goli mrva dyp
331,1,india ka suprim court  polticen  or  kanoon  napunsak  hai  nakara hai  ye  sachhai  hai 
332,0,bachkar rahe
333,0,manohar lal khatter must acknowledge the state of fearlesness from unethical groups of ppl kabhi bhi kuch bhi ho jata haiwith innocent hardworking ppl paying the price
334,0,election aa raha he ye uski nishani he modi ji kuch to karege hi
335,0,2014 se kabhi kisi rajya me kabhi kisi rajya me hm jati dharm ke nam pr larae kr rhe h kyojra socho
336,0,bas yahi hoga chunva hona tak  manipur ma kaya ho raha hai usa koyi nahi dekha raha 
337,1,sirf katmulle pathar maar rahe hai sabb jagan yeh suru karte inka khuda inko pattar marne  ko kehta hai jehadi hai yeh katmullo inke saath bhi aisa karo yeh jab tak hinduo k saath kar rahe hai police in katmulle ko support karti hai or action bhi nahi leti congress or anya partiya hinduo ko khatam karna chahti hai or muslim rastra bnana chahti hai poora world jal raha hai har jagah muslim dangge karte hai
338,1,bc mulle
339,0,agar ye do logo ki ladai thi to unki chhat pe patthar pehle se kaise aaye
340,0,itne ulte comments kr rhe hain log  subject kisssi ko nhi pataa hindu says muslims ghalat  muslims says hindu wrong   2 logo ka murder krne k baad system jissse khulaaa ghoomne dey uski koi baaat nhi kr rha afsos ek murderer ko nhi pakadna chahte badle me shahar jalne do ye chalega wese b 2024 ki teyyari hi ho rhi hai
341,1,ek baat sochne ki hai bjp sasit rajyo me hi muslman danga karte hai lekin unpar koi action nahi hota ek bhi dangai nahi marajata chahe haryana ho delhi yahan police central ke control me hai sabse jyada hinsa hoti hai road jaam hota hai per action nahi hota shayad sabka bishwash jeet rahe hai ya phir sarakhchan de kar danga karwa rahe hai hindu ko darane ke liye jaisa samajwadi up me musalmano ko darate thae
342,1,after manipur now haryana next night be uttarakhand then mp then up and the list continues
343,1,ek suar ko pakadne se better hai desh jalne do haryana police
344,1,bhai chara dikh raha hai ganga jamuna thezeeb dikhai de rahi hai
345,1,islaam ke aant ka samay aagaya
346,1,inhone to france tk me nhi choda wha bhi r chije fukk di gyi inke dwara apne ghr me koi aag nhi lgata ye inka ghr hota ya mnate to shyd hi ye isa nhi krte khi
347,1,ab bjp election jeetne ke liye purey india mein dange karwaegi
348,1,shobha yatra mein hatya ko lekar kon aata h bhai
349,0,systuum phaad dia be  
350,1,atank ki dukan islam aur quran
351,1,jhana gya islam wha aag hi lgti h
352,1,2024 se pahle dange to karwana hi pahle madipur aur ab hariyana mumkin
353,0,mat bhool bande  sabse pehle tu insan hai  kudrat ki  banai  kriti mhaan hai  tere jeevan ke rishton se hi teri shan hai  sab se pehle rishta hai jis se  vo paramtma vo bhagwan hai  mat bhool ki tu sirf zuban rakhta hai  tu soch rakhta hai  tu dil aur deemag rakhta hai  janm se pehle tu kis jaat ka tha  mout ke baad koi nhi poochhega tu kis prant ka tha  tera mera chhod ke dekh  apna praya bhool ke dekh  jeevan mein kitna araam hai  tere andar hi kahi  rehta raheem aur ram hai
354,0,abhi koi nahi bolega na manavadhikar wale na li al na secular na alpsankhyak na bahusankhyak wahi police goli chala deti doachar dangai mar jate toa pralay aajata sabhi gidh kutte rone lagte loktantra khatm ho jata jhelo lekin afsos un police walo se hota hai unhone goli kyo nahi chalai  apni mout samne dekh kar bhi marne ke baad kon suspend kar sakta tha
355,0,insan insan nhi rha ab kisi ko bhi jalti aag mai fenk dia jata hai
356,1,hindus r wearing bagals
357,0,agne veer dash hi jha arme ko mjaak bna dyia agne veer bhrte krke
358,0,free ki rshann voot ki bdle milte hi mhanet ni krne padte
359,1,tum log ke wajah se hindu hijra ban gaya hai
360,1,bjp desh me aag lga di hai satta se bjp ko hmesha ke liye bahar kr dena chahiye
361,1,duniya ki sabse ghatiya kom islam
362,1,hindhu  raster ki muhh bholte tasveer
363,1,ma chodd do in bhn k lodo mullo ki sare hindu
364,0,arnab ji aap ki soch va dealing adbhut hai
365,1,well said arnabyes send them pak or dont give indian citizenshipvoters right
366,1,desh ke gaddar hai jo bale pakistan jindabad
367,1,abhi bolao bhokee
368,1,gadhe waris ko terrorist aur killer mai difference bhi nahi pata
369,1,orangjab baap h iska ji toh bolge
370,1,jo pakithan jindabad ke nare lagata he use pakithahi bhjana cahiye use koihak nahi hidutan rahneka
