Comment,Target
Assalaamu alaykum mdrchd SP amit prasad and BJP RSS ke dalaal delhi thhulla police,1
new age india,0
Sala inse jyada akalmand to mera saal ka bhteeja hai jo kabhi namaskaar aur assalamoalailum ko alag nahi samhajta,0
Kuchh to sharm karo ayese kaise bol dete ho,0
Please give details where is this police and the public prosecutor so that I can write to him or go n wish my entire with entire team in all languages the greeting,0
Ok In that sense Speech starting with Namasthe is only for particular community,0
May se saste nashe start hue the jo abhi tak barkaraar h Saste nashe ka sargana Jumlendra Damadol Moody,1
So according to them our PM addresses only Hindus,0
And the Muslims in MizoramAssam border alway cutting off supplies to Mizoram from the rest of the country,0
Kabhi khud par proud feel hota h,0
Delhi Police is acting like Police in a Bollywood court room drama film,0
Assalamuwalaikum is for EVERYONE Kuch bhi hudse bana lete hai,0
Delhi police sounds dumber by each hour Its like saying he said hello which means he addressed the British,1
Educated terrorist,1
To kya hua Jarnail singh bhidrwale jaise log bhi india k khilaf sikho ko bhdkane wali speech jo bole so Nihal se shuru karte the iska matlab wo innocent hogye Situation dekhi jati h wire Maoist ka tatta,1
ye police hai,0
And Modis Jai shri ram is for the whole nation right Fckn schmuck,1
Assalamualekum meaning Peace be upon U Delhi Police dimag hata ke Gobar install karliya hai khopdi main,1
Wakil hai ya namuna,1
because shree ram and other hindu gods are originated in India and part of our ancient cultural integrity,0
Assalamu alaikum means god may bless you not only for muslims Shame on u delhi police,0
Modi starts his speech with bhaiyon and behnon,0
Waaah kapil sharma show has got one tough competition,0
what about when people says Jai Shree Ram,0
So if I say hello or namastey then Im promoting religionwhat kind of ganja they use,1
Then why are they forcing the Muslims to chant that They should keep it to themselves integrity doesnt work this way,0
Peace be upon you,0
Wah ji wah,0
If you are confident he gave hate speech show the part where he is talking about dividing or fighting or any such thing that insight hate Starting a speech saying Assalamualaikum means it was directed towards a particular community only bhai police ke liye bahot izzat hai bahot mehnat karke koi police banta hai aise naam na kharab karo unko And btw Assalamualaikum means peace be upon you and you can say it to anyone irrespective of religion So someone starting a talk by praying peace for the other person how can heshe talk about hate,0
The most ridiculous argument of all Is namaste only for Hindus Or just something used by Hindus,0
For those who dont know the meaning of assalamualaikum its Peace be upon you,0
that way u ll want to start ur email with a paragraph of greetings when addressing it to a multi cultural MNC,0
Assalamualaikum wa Rahmatullahi wa barakata hu,0
The intolerance is real,0
So when politicians say namaste are they only addressing the majorityhindus,0
Modi making policies is only for particular community of people,0
It literally means Peace be upon you,0
I think prasad had some bhole ka prasadbhaang before the hearing,1
Aur bhai konsi community ka hai,0
assalamualaikum everyone,0
Really Lack of knowledge,0
Special Public Liar is dumbest guy,1
This Delhi Police wastage of public money Only working for Hindutva Agenda Honourable Delhi HC How shame DP,0
To India me ab Assalamualaikum kehna bhi crime hai,0
And what about those slogans who says jai shree ram,0
And kill innocents,1
HelloHi is only for English speaking Christians We should start our emails with Namaste or Suprabhatam only,0
Deal with him as necessary Cant spare anti India persons,0
Such a shameful,0
see even if she is in jailthey r providing her all necessary facilities,0
aree sarcasm thaitna bhi nhi samajtalol zindagi itni serious na lomar jaogi jaldhi,0
All Muslims and minority Indian rise up and take back human rights these ignorant and racist must be called out,0
more power to you for saying it right to the point Appreciated,0
Please say something,0
Inflammatory and provocative speeeech Get me to the judge who denied bail for ive got a list of few who actuallllly didof those who actualllly callled for roits,0
Haan ye jail mai hai to death of democracy hai Ye bechari hai Pregnant hai Isme bhi galti humari hai Aur tum aise guilty feel karwane walle post daalke sadistic pleasure lelo Mtlb usko khud nahi padi thi apne bachhe ki Hum hi soch le iske baare mai bhi Yahan bhi hum hi jhuk jaayein Kyu phir aazadi ke naare lagati ghum rahi thi,1
And stop this fucking hypocrisy Ek video aayega iss mahila ka jahan ye zabardasti ki naarebaazi kar rahi and u will change sides,1
Point ye hai ke har chiz ka burden humpe kyu aata hai Hume guilty kyu feel karwaya jaata hai har baar Usko bhi smjha do jaake koi Maa ke liye bachha pehle Maa jhuk jaati hai jab baat bachhon pe aati hai maa apni jaan de deti hai par bachhon ko surakshit rakhti hai Online kar leti naarebaazi Ye freedom jo chahiye Aur chali hi jaati naa bahar India se Wahan full freedom dekh hi rahe hain hum log Aurat hai Pregnant hai Ye sab hum soche Wo khud to sochti naa hogi Apne aap ko kraantikaari smjhti hongi,1
haan wo bezubaan tha jaanwar Jo bin kuch kiye insaan ke haathon mara Tumhari dost ki tarah jis desh mai rehke uss pe hug de waise nahi kiya Pregnant haathi ko dekh ke aansu aagaye kyuki bechari dard se tadapti paani mai shaanti se jaake khadi thi ke shayad bachha bach jaaye,0
tumhari dost ki tarah pehle iss desh ko gaali bak ke aab victim card play nahi karti sharam kar lo thodi,0
False case,0
What have we become,0
I make dua for her that she will be free soon InshaAllah,1
sarcasm ka ek percent bhi nahi tha mere according Anyways sorry,0
Arey bhaiya india m rhte ho ya chand s aaye ho bhakt ho pta h pr andhe mt bno,0
you need balls to comment from a real account,0
bhai ne post khud dekhne k liye kiya Kyuki bhaiya k follower to hai hi nhi,0
Who is father of unborn boby,1
you dont speak for everyone in this country lol,0
PCOD to bahana hai didi ko bahr aana hai,0
chutiyegov ne kri hai ya lockdown se ho gyi,1
Munna jis ke liye tum Etna bol rahe ho vo ek criminal he criminal criminal hi raheta he,0
why the fuck do you need to compare an animals case to a humans,1
Death of freedom of speech and also death of democracy,0
aray yaartum to piche hi padd gyechalo ban gya yar india superpowerkk take care bro,0
pehle jo bajrang dal k log police station jlakr officers ki dath k liye responsible hn unhi se puch lo,0
show us one video or search for one instance where she is seen given hate speech or inciting violence Chakka jam is not violence She is held as prima facie for chakka jam Not for inciting violence,0
please send a link to that video I would like to see myself,0
Pehle pregnant ho jao phir hate speech do mob ko bhadkao Delhi ke road pe tabahi machao riots ke mastermind bano aur phir jail jao phir pregnant hone ka bahana deke nikal jao,1
Yeh whi h na jisse condom nhi mile the,1
yeah Good Terrorists like Sadhvi Pragya Kapil Mishra are innocents and Safoora Zargar is criminal Every sane mind can see the ill treatment of Minorities under Modi and Happy faces of Sanghis when Muslims are killed,1
Journalism ki mainstay duty hai Govt ko criticise karna Jo Facts hai woh facts ko public ke saamne rakhna Naake Aap aam khathein hai Chuske khathe hai Aap kabhi thakthe nahi hai kya Aise sawaal karna,0
Maine kabhi kisi ko sold nahi kaha Par maine jisko rly mein ye comment kiya usne zaroor pakistaniChinese funded kaha Prashn us vyakthi se tha,0
When Judiciary is busy in race to please the Fascist Rulers and get RS ticket this is what the outcome of ruling will be Injustice served,0
Well done Capital punishment for tukde tukkde gang,0
i heard she got pregnant in jail,0
Kapil Mishra incited fucking embers not Safoora,1
Shame of this judge,1
She is our freedom fighter lady bhagat singh you are suffering in big problem SafooraZargar but plz dont became said dont carry dont feel alone because all honest secular persons with you proud of you,0
lmao just because shes a woman that doesnt erase her part in inciting the riots,0
bilkul sahi bro Jo galti karega woh hi bharega Sab se pehle us badhwe ki aulaad Kapil Mishra aur Anurag Thakur ko band kero Saaley aatankwaadi,1
sun meri bat its ur choice,0
abeee pehle reply padhle usme teri baat ka jawaab hai dange umar khalid ne karwaye hai the wire ke logo ke saath milke na ki kapil ne,0
address the actual prob dude Go educate yourself before you give half baked hate filled comments to others,0
rupee aa gya ka rs doller criminal hat gye saare parliament seban gyi smart cities ho gya corruption bandfamer suicide ruk gyinotebandi se terrorism ho gya khtmban gye nye aiims ho gyi ganga saaf crore kha gye ye log namami gangelele bhai inki sidekbi to akal aayegi tujhe,0
rakh bhai apne pass factsjb ban jaye economy trillions tb baat krnapehlesmart cities aur baki sb to krlo,0
han Kapil aur Thakur ko comedy circus khel rahe they wahan par,0
Nonsense,0
Sala aab to judiciary system se bharosha uth gaya hai gundo ko aur juttho ko bail mil jati hai desh k har system mai aab khali influences he chale ga,1
accha bhai toh phir voh jo weapons supplier Sirohi mila Delhi riots ke time weapons ke sath voh kaise bahar bail pe hai Doshi toh jo bhi h sbko saza milni chahiye naa Or haa aapko kisi ne judge bana ke court mein nhi baitha diya hai toh logo pe ulte seedhe ilzaam na lagaye toh accha hoga varna aap pe bhi modi ji ki tarah koi case kr skta h defamation ka And please thodi humanity rakho toh accha hoga Safoora Zargar ko guilty prove kr nhi diya hai na hi koi concrete evidence mila hai unke against toh baith jao please,1
why dont you talk about this booboo,0
PM care fund will use to buy candidates Bihar and west Bengal election and recently two MLA joint BJP and also they will destroy Indian democracy,0
completely getting your point sirbut still be it anybodywe need to cater to their unique conditionsthis is what we areBtw that is some great photography you doyou should try to increase the outreach of your work,0
Sab yad rakha jayega,0
bro delhi riots mai my frnd lost his father u are in ur home safe and comenting in favour of those who has connections in dekhi riotsdekho iska doshi chahe modi ho ya safoora zargar saza usko milni chaiye and yes it is clear ki the wire ke employes umar khalid and safoora zargar jese logo ne hi instigate karaye hai dekhi riots umar khalid ne to stage pr se ailan kiya hua hai din pehle riotz ke that hum din ke baad delhi ki sadko pr ayenge jab trump ayega youtube pr video hai jaake dekhlijiye safoora zargar zaroor guilty prove hogi and usko kadi se kadi saza milegi humanity usko jab nhi dikhi jab dekhio riots ki planning krrr rhi thi jo aaj hum pregnant hone ke liye humanitu dekhe na jaane kitne log maar diye safoora zorgar jese logo me,1
Delayed justice means denied justice,0
sorry for your friends loss But itne sab likhne mein aapne abhi bhi jo actually doshi h unke liye toh kch likha nhi And no Safoora ne nhi maare h because she hasnt been proved guilty just as Umar Khalid has not Kya clear hai aapko Kch bhi nhi The wire is a news outlet kaha aaya hai unka name in sab mein jo aap bematlab kch bhi bole jaa rhe hai Hum yaha pe justice system ke double standards ki baat kr rhe hai certificate nhi de rhe ki aap doshi hain and aap nhi Aap bhi naa kre yeh harkat toh better rahega Agar kuch accha nhi bol skte hai toh mat boliye please But internet pe iss tarah ki gandagi mat kariye jab court of law mein kch bhi prove nhi hua hai toh,0
bro aap kaha jee rhe ho check ur facts first umar khalid and the editor of the wire news portal is also in delhi police fir bcs they provoked people to riot in delhi they are under uapa section,0
Sab dekha bhai ko ek nazar mai,0
and aapne toh criminal weapons supplier ka point ek baar phir se ignore krdia hai As aapne itni hi baar yeh acknowledge krna bhi ignore kia h ki aap judge nhi hai isliye aapko authority nahi h yeh sunane ki that whos a criminal deserving of punishment and whos not Toh aap bhi apne facts check kriye hum bhi kr lenge,0
Aayi thi protest krne pill gyi saheen baag m bc,1
lol how many people were killed by your so called brahmins terrorism lets compare it with your Jihaadis,1
har har modi ghar ghar modi,0
the entire nation,0
iske according tho ek chuha ganesh ka vaahan he And almost har din ek chuha martha he Ab hum tere hisaab se uske liye bhi stories daalthe he na justice k liye kya bakchodi kartha he tu,1
Justice served,0
thats called cancer,0
koi bhi govt ke khilaaf bole woh pakistaniChinese funded hai,0
aryy khud toh quaboola hainaa usne Usne khud btaya Hai,0
haaa Makshad toh ek hi thana,0
maksad ek tha Safoora ki ladayi CAA ki thi aur Delhi riots bilkul hi alag mamla hai Dono same kaise hogaye Safoora ka Tahir se koi connection hi nahi hai,0
I didnt checked his account I wasted my time,0
Jisne Delhi riots ki planning ki wo to Home minister ki kursi pe baitha hua hai,1
phir aap logo ne masuum logo ko kyun mara caa aur nrc k mamle mai,0
aap log Bhai mujh par kyu aa gaye Maine kya kara hai ab,0
And zargar is pregnantask around and you would know how difficult pregnancy is even with everything availablelet aside being in a judicial custody,0
Shame shame,0
Shame on indian judiciary,1
Adalat me bhi kachadhari Bethe hai,1
Indian law and Indians are no more safe for its own citizens under BJP rule,0
Minority will never get justice its a sad reality,0
Kya Choothiya hai re tu,1
bhaisaab aap khudka asli account se comment krne ki himmat rakhe phir baat kre,0
Desh tera baap Kapil Misra ka hai re madarchod,1
apke paas shayad h jyada time toh do account jo chalate ho kiske kahan daro humse aap pehle se hi darpoko wali harkat kar rhe ho Aur koi kisi ki help nahi le rha h yahan balki aapki basha se lag rha h apko kisi ki help nahi mili h shayad Iska reply tabhi kijiyega jab aap yeh fake id ke parde se bahar aa pae,0
there are videos viral on social media of Kapil Mishras hate speeches People carrying gun were granted bail Ismein religion kahaan se aagaya,1
Separate land nahi chahiye tum jaise bhakt choothiyon ko desh se nikaalna chahiye,1
Maybe judge finds a RS seat I mean post retirement plans Aisa he Hota aarha hai democracy gayi Tel Lene in logon k liye,1
Are you disappointed wirein,0
Pathetic abusive BJP IT Cell sprinkle some more pathetic on yourself with every comment,0
jyada bhakt na bno bhai m aam public ki baat kr rha hu,1
RIP democracy,0
gujrat me babu bajrangi tha aur delhi me kapil mishra hai modi usko kaise kuch hona dega RSS ke sache desh bhakt hai wo india k desh bhakt nhi hai wo RSS se hai,0
Itni neche gir gaye bjp lanat hai khud ko mard batane wale aaj ek aurat se dar gaye acha laga safoora didi ka khof bjp me dekh rha hai aur ha ab kisi bhi judiciary se insaaf milne ke koi umeed nhi hai hum musalmano ko se dekh rhe hai aur duniya bhi dekh rha hai,0
Judge,0
had you been sujected to such treatment within your own family would your statement be the same,0
ohhhhh bhaiiii maaro muje maaro,0
Sad,0
What is this nonsense kya ho raha hai is desh me,0
if you actually sympathize with her then stop using her name and comparing it to whats happening with zargar,0
first off all you are going around asking people what this is all about Ek dho comments padke half baked knowledge rakh k comment kar rahe ho dheko tho,0
aur koi bhi govt k behalf me bole wo sold,0
kl democracy secularism in danger brahminism terror and bhakts boldiya Congrats ur all cool now,0
bahot days aa rahi he na un logo par jisne CAA ke virodha ke name par desh jaladiya those bhatke hue nojawan terrorist ban jate he ESI kom me Acha hota to sale terrorist nikalte he or us ladki Jo pregnant he use Kiya Allah be Kiya Kiya baap Ka name BATA,1
Tu chutiye sab chhod bas baap Ka name BATA ya Allah be hi,1
Shame on judiciary,1
Uske baap Ka name bata,1
What about Kapil Mishra Anurag thakur tadipar Woh Kya satsang Chala rahe the J,1
apka swagat hai mere dm mai aaye mujhe koi jawaab hi nhi chaiye jawaab to tum logo ko chaiye i am happy with this news jo bhi doshi hai usko punishment milegi pregnant ho ya budha insaan saal ka ladka ho ya ladki jo doshi hai usko milegi,0
dikhao na bhai kuch to batao na itni important information Di hai apne Iske aage piche to batao mujhse andhi bhakti karne ko mat kaho,0
I dont your are Muslim or not but one thing I know that Jo Banda desh ke dushman ke satha he vo aantkavadi he or sab chhod Tu baap Ka name bata,1
sadhvi pragya apne facts chek kro uska is case se koi lena dena nhi nd kapil mishra ne dange nhi karwaye sanse pehle the wire ke logo ne umar khalid ke saath milke plannjng kri aur sadko pr log utaare jab trump aaya unhone riots kre uske baad kapil mishra ne commisner ko jaake kaha ki agar aap in logo ko hatane mai fail ho rhe hai to hum sadko pr aa jayenge jab trump chala jayega,0
Its not a JusticeEven court is going with goverment agenda,0
Scripted by BJP,0
Sadhvi Pragyas trial is not taking place in Uttar Pradesh Your comment isnt making any sense as far as jurisdiction is concerned,0
Abe chutiye Jake dhek news khol ke usse haathi ko kisine khuch nhi khilayaor jidar ye incident howa hai udar hindu bhi rhte haiuss haathi ne khud khaya haisale bhakt hate speech failana bandh tu bhi tho bjp mla ko bacha raha hai asshole,1
how am I with terrorists Wtf kuch bhi anti BJP is not anti Hindu or anti National,1
your are anti national kiyoki jis bandone pure desh me caa ke virodh ke name pe danga felaya Tu Uske stha he or ye sab chhod baap Ka name to bata,1
Amit shah gandu,1
Omg Allah,0
aur bhai Delhi police ki chargesheet koi evidence nahi hota h Where is evidence,0
Please release hera pregnant lady should not be in jail,0
Hahahaha lol Aree bhaijaan kar to rahi hai court decide Kar to di bail deny Phr randi rona kyun karte ho bhai Aur bhai blind eye nai karte seedha jail me daalke antinationals ki gaand maarte hai Hope you are enjoying as well And who the fuck gives a damn about what antinationals say They are being jailed thats all we want You may cry out calling whatsoeverver you like,1
Kya gundagardi hai bc Sharam lihaz sab uth gaya kya Muslim hai aur protest kiya yaani Antankwadi Kya governance hai The almighty will give you what u desevre one day Just wait,1
Congratulations,0
Oh bhai bht hi chutiya analogy thi Bhagat Singh revolted against the British regime that deviously gained its control over this land For that matter they came in as traders only to then end up ruling a foreign land This government which belongs to this land has been elected by the majority of this land And burning public properties and wreaking havoc in the name of protests can in no way be equated to the freedom struggle,1
and fuck isis terrorists,1
and i am also not spreading hate and just countering your comment and spitting facts,0
are you ill Because i smell sickulariism in you,0
jisne ye bhasan diya kabra me sad rha haiaur baat rhi aag ki to wo to waqt batayega,1
Maut to ek Haqeeqat hai mere dost Aaj nhi to kal sabko aani hai usse badi Haqeeqat hai Qayamat jahan Waqt nahi Allah batayga,0
i hope this clarifies your doubts Thoda aage peeche bhi padhliya karo bhai youll get the context of what is happening Aise inky pinky ponky karke verses daalo ge toh uska matlab galat banega na Theres a lot of details and contexts that go behind every verse ek ek cheez ka description hota hai We study for years tab jaake thoda samajh aata hai aur aap ek hi din main saara quran samajhne nikle,0
i hope next time Verses daalne se pehle thoda research karlo itll become clear and self explanatory cheers,0
What about claiming that under every masjid isa temple and closing masjids Saying ki shivling was found in the mosque toh its cordoned off and Muslims cant go yahaan tak ki Taj mahal ko bhi nahee choda do you seriously think Muslims dont have money to buy land Ya masjid banane se pehle survey nahee karte Ki mandir ki jageh hi chahiye ab aap log k ye tukke maarne ko kya bolen Shot hitting Arey bhai woh fountain hai shivling nai,0
Give A Break To Your Whataboutery Please,0
And one more thing aap log k itne bhagwaan hain ki aap log khud nahee jaante kitne hain Many of the people who makemade fun of Hindu deities proclaim themselves to be Hindus koi South Indian movie dekhna they call them stones who can do nothing when you people are so against your own faith why are you pointing fingers at others I have Brahmin friends who eat beef What do you say about that,0
Everyday aap log k naye naye self proclaimed godman and godwoman majority of them who have sexual harrasment or criminal cases against them agar aaplog naye naye bhagwaan banate rahe toh humlog iska kya karen Few years down the line if someone comes up ki some God used a goat to travel so goats are sacred to kya humlog bakre kaatna chod dain Bakrid main kya katen Cake You people rarely visit temples and prevent us from going to mosques bolne ko bohot hai but these were my cents Before pointing out others mistakes have a look at your own this wasnt started by Muslims fyi You did Not us You,0
cool Will do Thanks,0
him tumlog ki paidaishi aadat hai kya Chomu banne ki,1
itna sara gyaan pela par jo pucha uska jawab tha nahi islye itna gyaan pela Bhaiyaji mere papa nigeria me reh chuke haivahan bhi bahut se muslims jo sirf naam k hai aur bolte hai k hm nhi maante toh Kya prove hota hai issemere friend ka friend muslim hai par allah ko nhi manta toh ab Bakwas na karo logical answer do jo incident huya uske baad bhi police pe ptthar maare toh voh log jaahil huye na,0
pahli baat hm tere dost nhi ho skte mout aayegi to dekha jayega usse pahle tayyar ho rhe hain,0
Agniveer main phool barsaaye they Was it ok when political leaders were calling for Muslim genocide Open threats for rape of Muslim women Rallies supporting nupur Sharma Is that correct Anti Muslim hate speech givers get security is that right While any person who does anything anti hindu gets arrested is that fair Justice kahaan hai,1
Subhanallah Mera rab ne apni paak kitaab me yehi bataya hai ki kaafir kabhi tmhare dost nh ho sakte tum unse acha sulook kro baaki Allah par chod do tm lakh kya crore ya trillion ki bhi fauj le aao Mera rab kaafi hai mere liye,1
tumhari kitab Earth ko v flat bolti hai to kya kren,0
Abbey gandu chor lootere bhikaari kaum h tmhari baatein ky chod ra h bey lambi lambi ved or puraan scientifically sii h rapist ni h jaisa tmhare yaha baccho ke saath budhe buzurg krte h jao Or suar ko tm haram maante ho isliye tmhe suar bol raha suar ke pille Itni aukaat China me ni dikhti tmhari waha toh pele jaate ho masjide tod di gyi waha jhat ni tedhi kar paye aaye hai yaha muchodi krne Or Taj Mahal bnwaya toh kya apne Abba ke ghar se lekar aaya tha Paisa loota toh India ko hi tha chor saale aaagye hai Chori krke Raja banne Waha jophad Patti bhi ni thi Or yaha mehal chahiye madarchodo ko Or ye history na chodo aurangzeb ki dhoke se ghus ke vaar krte the bloody terrorist Masumo ki jaan hi Lena sikhaate h tmhare yaha Peacefull community wale bane h ganduor sunn shi se history padhle gandu Shiva ji ki fatti ni thi faad di thi Tere mahaan ki jhat Aurangzeb ne jab sambhaji ko dhoke se kidnap Kiya tha tb Shiva ji ne firauti ki raqam hi smjhle di thi Chodumal Padhe likhe ke chode bane ho Kasam se aisi caste meri hoti sharam se marr jaata Kaise jii lete ho khudse jhut bolke chor lutere rapisto ko apna idol maanke sharam ni aati chii yrr aa thu hai tm jaise po peacefull community,1
sun be madarchod choot ke Baal aisi Gand maari jayegi na beta ki muh nhi dikha payega jhaatu tum Jaise logo ki wajah se hi hindu musalman HOTA hai or hn dunya me Muslim desh zyada hai science ke chode,1
laude jab ounpe bolne pe sabki Gand maar Di agar ounko koi haath bhi laga deta to poora Hindustan tabah Kar dete madarchod yahi seekha hai Tumne tumhare bhagwano se doosro ke dharam pe gaali dena bohot Sahi sanskar hai lage raho ek na ek din oukaat pata chal jayegi tumko,1
Turns out the murderers were BJP party members Ab kya bologe,1
bilkul bhi nahi just because of some connections you cant make this claim Aise toh RSS also has a muslim wingtoh phir toh mujhe bhi claim krna chahiye that Muslims support RSShena,0
Yahi Problem Hai Inki Na Murderers Ko Dhang Se Condemn KarengeNa Radicalisation Ko Khatam KrengeSaara Gyan Or IF BUT Hamare Lie,0
ask the monk,0
Kya aapke relatives koi police main kaam karte hain kya Jo police k geet gaaye ja rahee ho So the people who pelted stones on police due to agniveer recruitment issue burnt train coaches and caused riots they were very educated right Ohhh btw whats your view on the latest incident Lost Muslim beaten up in Hindu majority Village in assam Madla Village iirc,0
malda district West Bengal Sorry,0
well the of muslims in criminal activities is more than their share in population Also as per data majority of the terrorists act are carried by the islamic community Also assam me flood kaise ayaa padha na aapne,0
Aap log se hi toh seekh rahe hain Majority of the terrorist acts are carried out by Islamic community because when others do the same crime they are termed mentally unfit and its called an accident media reports it in such a way toh hum kya Karen Assam floods I think sare Muslims jaake Gharon K overhead tanks puncture kardiye Or ya phir galti se kisi bade water tank main bomb blast kiye Or maybe some really fatt Muslim jumped into a swimming pool in assam,1
pata hai nhi kuch gyaan pelne aa gaye Assam me muslims have been arrested for breach of embankment Silchar floods Newspaper padho bhaiya yahan insta ki news padhke sidha gyaan pelo nhi,0
Abe madarchod tere terrorist dost hi pehle rape krte bomb blast krte Fir boltey allah ka fiya hua kaam humne kr diya hai lawda lashun Khud hi bolte be tere community wale madarchod tu kya defend krega Lwde bakari,1
ashutosh sare Muslims ne mara haii ky usee is that whole community who killed him Nd unhe sajaaa mil gyi haiiiiii cant u get this,0
bro influence toh kiya na,0
ashutosh influence toh thn modi bhi krta heinaaa bruhh,0
haa mai maanta hu ki modi ji influence krte hai par maarne ke liye nhi krte or tum toh direct bolte ho sir tan se juda,1
wo tavreet nhi tabrez tha shyd bas ek mara to itna dukh humare dharam ka to har mahine marta hai fir kehte to muslim kaum dari hui hai are didi dari hui hai to ye haal hai dar nikal jayega to kya hoga Tbh aapke paas to islamic country hai humare pass hai koi India ke alawa ab yaha bhi hume aise sataya jayega to fir kaise chalega,1
aaja gand mare Dilli Chandni chowk ballimaran,1
chudai khano bakriyo gand main dam h to aayo zarur,1
bete jaha se nikle ho waha ghusa denge tumhe or tumhare ko,1
Abbey tujhe sharam aati hai suwar yaha se waha tatti khaye ja ra hai Suwar ki aulaad ab sunn dhyaan se bhsdk dimaag me guu bhara hai tumhari suwar toh dimaag chalega kaise usse bhi zada purana dharm hai saal purana isliye maine bola kyuki bhagwan Krishna saal pehle the jinki shadiyo ki tu baat kar raha tha history tum ganduo or choro ki padhai gyi h yahi toh badnaseebi thi hmari Par chalo filhal ye jaano aurangzeb ne apne baap ko kalkothri me daal diya wo wii marr gya or maut ki wajh padh le ja ke chodu history me Or sunn Shah Jahan ne mumtaz ke liye tajmahal bnwaya wo kala gora kch bhi kre apne baap ki ijjat ni krna aata tmhare waha toh dusro ki ky krenge baap ko kal kothri me daal skte h lekin baap ko mana ni karskte ki nii Abba aisa nahi krna chahiye ya fir zbrdasti Ladd jhagad ke rok ni sakte the ja bey gandu ye sb apni history apne paas rakh Or bade bhai ka kurta chote bhai ka pajama wale mullo ke paas bada Paisa h airport jaane ka or saadhuo ki kya baat kar raha hai puncture putra ek saadhu hi uttarpradesh ka cheif minister hai aukaat dekhlo ek saadhu ki bhsdk Apna dekho malichh ghar jao toh badbu maarte rhte h tmhare Maulana Insab ki jhat koi ijjat toh karta nahi h or baat saadhuo ki h toh me unhi Naga sadhuo ne tumhare Abba aurangzeb ko haraya tha Munna yaad hai ki nhi Jab wo mandir me chori karne gya tha History weak hai lag ra tumhari bhi chor makkaar aaye hai apne apko ladau batane,1
