tweet,Content
"Moral of the story : stop posting photos on social media.

Today thy declare u dead, 2row thy will declare smbody terrorist and silsilla chalte rahega.",NONE
"??????news hi fake hai...or 
Bas ithna pata hai ki..itne darvane provisions hai...????.. what's app knowledge...",HOF
Moral of the story.. Stop believe BJP and its supporters..,HOF
Mullo tumse har lash ka badla liya jayega,HOF
"On Thursday, the West Bengal BJP issued a statement in response to the erroneous portrayal of an India Today journalist as a victim of the post-poll violence in Bengal. The party said the error was due to a ""hyperlink"".",NONE
Pathological ????????????,HOF
"Swara ji, I and you did,'t went to Bengal, we are seeing the news on all news channels. Think brodely, I am not an strong supporter of BJP but what is the option of Modi, Congress party is around the Gandhi family and people dislike them.",NONE
When there is a tumor you don't think of an alternative. You remove the tumor,HOF
Think twice while speaking,NONE
WB Govt should file case against these hate mongers n fake news spreader,NONE
Apse jaida umid bhi kya kr sakte ...bengal mee jo ho raha hai ager bjp sasit rajye mee hota to kud pri hoti.  Sarm kro sarm  ....??????,HOF
Dayan mamata,HOF
??? landi,HOF
"??? ?? ???? ???? ?? ??? ??? ???
???? ??? ??? ? ??? ????? 

????? ?? ? ?? ?? ?? ?? ????? ?? ?? ????? ????? 

?? ?? ??? ???? ?? ??? ??

???? ?? ?????
??",HOF
Yes definitely bitch hai yeh,HOF
??????????BJP is more dangerous then corona...,HOF
Literally shameful and completely exposed,NONE
"?? ?? ??? ??, 
??? ?? ?? ???? ??? ???? ??? ??? 
?? ?? ??????????? ????? ???? ?? ???? ??? 
??? ?? ???? ?? ????.....?????  ?
???? ?? ?????? ??? ?? ???? ???? 
?????....???????? ?? ??????",HOF
"Hey Swara please remove your name title,
You never be Bhaskar",HOF
"???????? ??? TMC ?????? ?? ????? ????? ?????? ???? ???????? ?? ???????? ?? ???? 
??????? ?? ??? ????, ?????? ?? ?? ??? ??? ?? ????? ???? 

?? ???? ????? ?? ?????? ???????? ???? ??? ?? ?? ???? ?? ???? ??????? ????..?? ?????? ??? ???? ???? #BangalBurning",NONE
"??????? ?? ?????? ???? ?? ???????????
90% ????????? ?? ??? ?? ???? ?? ?? ???? ???? ?????? ??? ??... ?? 100% ???????????? ?? ??? ?? ?? ???? ????? ????? ?? ?? ????? ?????? ??.
?? ??????? ?? ???????? ?? ????? ??????? ?? ???? ?? ??? ???",HOF
??????,HOF
"They are not Patho-logical  lair.
They are AYUSH ministry type lairs.????",HOF
"?????? ?? ?? ?????? ????? ?? ?? 
?? ?????? ?????? ??? ????? ?? ??????",HOF
Beta swara jara bengal ko BJP ka jheenda leke jana pata chalega tuje,HOF
"???? ?? ??? ???? ?? ????? ???? ??? ??? ?? ???? ??? ?? ?? ?? ?????? ?? ???????? ??? ?? ?? ???? 
?????? ?? ???? ???",HOF
"??????? ?????? ???? ?????
???? ???? ??? ?? ??? ??? ?? ???? ????? ??? ???? ???? ??? ???????? ?? ?? ?????? ??????? ???? ???? ?? ??? ?? ??? ??? ??? ?? ???? ???? ???? ?? ?????????? ???? ?? ?? ????? ????? ?? ??? ?? ?? ??? ?? ?? ??? ?? ?? ??? ?? ?????? ????? ??? ???? don't b a fool.",HOF
"This Swara, good for nothing, shez like Kangna part 2 frm the other side. Isko kaam hai nahi, sirf bhadkate rehti hai.. aap log bina samjhe Twitter mein usko impress karte rehte ho. With so much of illiteracy, I strongly feel that we don't deserve democracy. It's anyways a myth.",HOF
Tere ghar me jab koi marega tab samjh me ayga tujhe,NONE
"?????? ?? ??? ???? ???? ?????? ????? ????? ?? ?????? ??? , ?? ?? ???? ?????? ?? ?? ???? ?? ???? ???? ??? ????? , ?? ??? ???? ?? ?? ????? ????? ?????? ??????? ?? ??? ?? ???? ?????? ???????? ???? ??? ?? ?? ????? ?? ??? ??? ????????? ?? ???? ?????? ?? ?????????",HOF
Twitter did a mistake. They should have suspended BJP accounts instead of Kangu,NONE
"Suara or who ever you are , it's so sad , in these times when people are going through so much stress of the pandemic , you can't think of anything else but this. It displays the kind of upbringing you had. I pity you.",HOF
Hahaha...where is our PM... not even thinking of their people rather more involved in Creating scenes...pity you again,HOF
Rohit or what ever you are she is just showing the mind situation of BJP after defeating by TMC. Every one know that the india is in this situation just because of the election and kumbh mela. But for the andh bhakts difficult to digest it.,HOF
Can someone please teach English to her? Her exclamation not in right punctuation ????,HOF
Fkn frauds,HOF
"Ohh ?? ?? ?? ?? ???? ???? ?? ????? ?? ?????? ????? ?? ???????? ???? ??? 
???? ?????? = ????? ?? ????
????? ????? = ????? ?? ???
??????",HOF
Kuch kaam karle nakli aurat??????kuch seva kar desh Mein... Twitter pe har roj hagti rehti hai,HOF
And you are the beti of raja Harish Chandra,HOF
"Please identify and admonish bigots. Bigotry does not deserve love or forgiveness. It deserves our utmost honesty and fearlessness. If you don't oppose a bigot, tomorrow he will become CM and put you in jail or worse for voicing your freedom and your mind.

Don't be kind to evil.",HOF
Tejasvi Surya is a BIGOT,HOF
Why he is working in simply superb in corona time and arrested the criminals those who locked beds for money,NONE
You also piger,HOF
Cal him Diaper Surya ??,HOF
Such a dumb always you people were talking different here discussion is what and you are telling what don’t divert the attention,HOF
Everyone in the whole world knows who are  bigots and what's written in the book. go get lost,HOF
"Great thoughts Sid 
Rise above all hatred and fight on",NONE
"If he became CM,, ur the first person to cry ??",NONE
Yogi is bigot,HOF
Bhai kitni bakchodi karega,HOF
"...URL ...sir , kindly give your feedback for my short film made on COVID awareness..",NONE
"Ur a hero in movie but he is the hero in public,,,",NONE
Full of hatred hero URL,HOF
Thanks for speaking against mamta banerjee ??,NONE
This bugger Doesn't know the difference btw He and She?? ??????,HOF
"You said ?? right Sir But people like these types people 
And one is the Health Minister who is sitting With Whol Gang
 in Bengal silence And everyone knows who is organizing  riot URL",HOF
Health minister seems use less to be very honest.,HOF
"Yes, bjp is orchestrating riots there and spreading fake videos of past years, got exposed and like Delhi, after fiasco in rustings, they are rioting up in Bengal too",NONE
do u support pakisthanis Bangladeshis Rohingyas entering india? And killing innocent people here.answer me?,NONE
You mean to say BJP organized WB riots and killing their own volunteers and raping them also. You are a pig 100%,HOF
"...URL ...sir , kindly give your feedback for my short film made on COVID awareness..",NONE
Do you notice the irony in your statement siddharth.......this one-sided narrative will destroy whatever good faith you have among general cinegoers.....buckle up .,NONE
"One sided ?  ???????? cult had been buit up by RSS, Media, Actors, Businessmen to make him look 
 "" Messiha "" 
????? ????? ?????? 
Every thing what he did including genocide was ?????? ??????? 
Now it is your turn
COVID sees no religion",HOF
"Congratulations dude ...
Giving a voice against injustice is the best virtue !! URL",HOF
"...URL ...sir , kindly give your feedback for my short film made on COVID awareness..",NONE
"He himself is a bigot, he didn't reply to communal hatred in Islam URL",HOF
Bhakton ki duniyaa alag he baba. Its all andbhakts.,HOF
Amd if you want to oppose him just schedule a stage and invite him to discuss/debate f2f. He'll spare you and your agenda with ease with his smiling face!,NONE
Like swara blabbed earlier in the stage,NONE
You are real and reel life Bhagat Singh,NONE
Hmm bhagat singh won't bark for leg pieces like him..,HOF
What an insult to veer Bhagat Singh. This bigot doesn’t deserve that.,HOF
Self Goal?,NONE
That's why he needs people like you (WITHOUT A FACE AND A NAME) to protect it??????,HOF
He is referring to Miskeens (Momins of India) &amp; he is right,HOF
"What it takes 2 be critical of incorrect policies/inefficiency of the Govt? 

A little courage, rational thought, honesty, steadfastness &amp; of course a SPINE! 

More power to you



 URL",NONE
All the theives at one place????,HOF
"???????? ??? ????? ?? ???? ???????? ?????? ?? ?????? ?? ??? ???
???? ????????? ?? ?? ??? ??.
?? ??????? ???????? ??
???? ??????????? ??' I",HOF
BJP have to be abolished from this Planet,HOF
Like you people have to be wash out from the planet??,HOF
Brother.. how to stop Mamatha ji in West Bengal.. as soon as she came to power started showing her real face and look at the atrocities her party is doing in the last 3-4 days ??? ??,NONE
"He won't care, after congress and communist's statement abt WB also he was backing her ny saying it's by BJP, as he only admitted he is South swara",HOF
Tejasvi  sir will be next CM ... God bless him ..,NONE
I mean tejasvi surya sir,NONE
Wake up Hindus learn. don't be kind to devil.,HOF
Siddharth the devil sits with Amer Khan all the time to abuse Modi and India because he was rejected by Soha Ali Khan for his cheap character ??,HOF
"Bsdk,first get urself clarity on bigotry 
URL URL",HOF
"??? ?? ?? ?????, ??? ?? ????",HOF
"Done mistake by watching your movies wasted my valuable pocket money, I used to watch almost all your movies, Will pray God to execuse my sin.",HOF
Same here bro,HOF
"???? ??? ?? ?????? ?????? ???? ??? ????? , ???????? ??????? ?? ???????? ???? ???????? ?? ????? ?? ??? ?????? ?? ???? ?? ???? ?????? !

?????? ??? ??? ???? ?? ??? ???? ??? ?? ?? ??? ???? ???? ?? ??? ?? !

?????? / ???? ?? ??? ??? ?? , ??? ????? ?? ?? ????? ?? ???? ????? ?????? !",HOF
Yeh sacchai hai ki URL,NONE
"AAP wasted all taxpayer money in such advertisements, this is advertisement party",NONE
behad sarmnak,NONE
"??  ??????? ?? ??? ???? ?? ??? ????? ??  ????? 
???????? ?? ?????  ??? ????? ?? ??????????
??? ?? ??? `????? ????` ,`?????  ????` ????  ??????? 
?????? ????? ?? ??? ???? ????,???? ???? ,???? ???? ???? ??? ??????? ?? ?????????? 
???????????? ?? ??? ? ??? ????? ?????? ?? ??????????",NONE
Fuck Boris and fuck Modi. Two pricks,HOF
Amen ????,HOF
"Offend him? More like 'I am meeting this prick for trade talks. Nothing can get in way of me making money for my 1%ers.
So what if a few ppl get ill or die or extended lockdown costs ppl their jobs and/or houses. 
Me and my boys are loaded. Won't affect us??.'",HOF
That’s exactly it,NONE
" the most disrespectable way possible, fuck india and fuck modi. #farmersprotes",HOF
It's not you but It's your burning ass ????,HOF
As we care and give fu©ks to you!??,HOF
"He is the worst PM ever ?? failed his Country and People.  He is a Right wing Fascist who hates Muslims and Sikhs, he is not a leader but worse then a dog.",HOF
"There goes our money down the Central Vista ...oops I meant the drain!!!

#CrocodileTears",HOF
??? ?? ??? ?? ??? ?? ????? ?? ??? ??? ??? ?? ??????,HOF
We paid huge interest for Home loan and that interest money is going to Center,NONE
So when we build schools ans medical infrastructre we bring workers from Egypt ? Get well soon mamu,NONE
"#CrocodileTearsModi
#CrocodileTears",HOF
He is looting us,HOF
Yeah the drain digged by manmohan singh in the name of modi,HOF
"Brain dead!!! Why Manmohan Singh is coming into picture.
Modi has been here for 7 years now

Blind bhakt??",HOF
Aise mat bolo they need money to survive...kuch toh jariya chai h...kaam toh kuch hota nhi is govt se ..except hindu mulsim india pakistan game,HOF
Gai bhans pani me,NONE
"He did it so secretively, without noise, when all were busy with toolkit, covid mismanagement he did another blunder and only time will tell the magnitude of this yet another financial mismanagement......",HOF
Which Government approved the new parliament House project? If you don't know then it was Manmohan Government... But you guys never say this ...,NONE
cant even dream that kind of money &amp; they are building a house worth that much for a useless PM,HOF
Hm ja rha ha kya kr logi tum,NONE
Your money? Are you insane? Do you even understand what this money is? This happens every year! People like you are worse than any enemy of the nation!,HOF
In reality government is losing lots of GST and fuel money due to pandemic.,NONE
Mulli,HOF
"?????? ????? ?? ??????? ????????? ?????? ?? 200??? ??? ?? ???? ?????? ???? ?? ?? ??? 10 ???? ??????????? 784 ??????? ?? ??????? ???? ?????? ????

??? ?? ??? ??? ?? 775 ?? ???? ??????? ?? ?????? ?? 12,630 ??????? ?? ?????? ??????? ??????? ?? ???

#IndiaFightsCorona URL",NONE
"URL

URL
Help sir...",NONE
Fraud person URL,HOF
?????? ?? ?????? ????? ?? ???????? ??? ?? ???? ?????? ????? ?? ???? ????? ????? ?? ?????? ?? ?????? ???? ?? ???? ?? ?????? ???? ??????,NONE
Gober patra ji..toolkit par bolti band ho gai kya..,HOF
?????? ?? ?????? ????? ?? ???????? ??? ?? ???? ?????? ????? ?? ???? ????? ????? ?? ?????? ?? ?????? ???? ?? ???? ?? ?????? ???? ??????,HOF
"????? ??? ?? 
????? ??????? ???? ???? ?? ???????? ??? ???? ???? ???? ??? ???? ???? ?? ????? ?? ???? ???? ??? ???? ???? ?? 
???? ?????? ???? ?? ???? ?? ????????",NONE
"He is a Surgery Specialist after MBBS got PG in Surgery from a reputed Medical College of Odisha (SCB Medical College,Cuttack) he left his practice in 2016 and became a full fledged Politician, but you are right he should restart his practice in this epidemic for service people.",NONE
Manipulated person,HOF
??????? ????? ??? ????? ????? ??? ?? ??? ????? ????? ??? ?? ???? ????????,HOF
#SambitPatra FAKE NEWS Peddler according to USER,HOF
??? ?? ????? ????? ???? ?? ?????? ??????? ?? ?? ?? ???? ???? ?? ?? ??? ?? ???????? ?? ???? ?? ??? ??? ??,NONE
"??????? ??? ???
????? ???????? ??",NONE
??? ????... URL,NONE
Farzi patra,HOF
???? ?? ??? ?? ??? ????? ?????,HOF
Fraud patra,HOF
Hahaha hahahaha ????????,NONE
"#toolkitexposed ?? ??? ?? ???? ????? ????? ??. 

???? ????? ??? ???? ???",HOF
"?????? ?? ??????? ??????? ??????? ?? ?????
????, ????????? ?? ??????? ???? ?? ????
??? ??? ?? ??? ??? ?? ????? ???? ??? ??????",NONE
Congratulations patra ji twitter nai new trophy ?? di hai aaj,NONE
Aaap sach me doctor ho ki aaise hi farji degree li hai?,HOF
????? ?? ????,HOF
"????????? ?? ????
???? ?????
??????? ??????
 ?? ????
??????? ?????? 
URL",HOF
????? ?? ?????? ?????? URL,NONE
Patra ONGC ka kya hal chal raha hai?,NONE
??????? ??????? ??????? ??????? ??????? ??????? ???????,HOF
bjp murdabad... nalayak,HOF
Wake mai farji doctar hai,HOF
"??? ?? ???? ??? ??, ???????? ????????? ?? ????? ?????, ???? ?? ????? ?? ?? ?? ?????? ?? ?? , ??? ??????? ?? ???? ?? ?? ??? ?? ???? ?????? ??, ?? ????? ?????? ?? ????? ?? ???? ??? ???? ??? ??, ??? ??? ???? ?????? ?? ??? ??? ??? ??? ??? ??? ???????? URL",NONE
"Sir,
Toolkit ?? ????? ????? ?? ???? share ?? ??

?? ?? youth ?? ????? ?? ?????

???? ??? ?? ???? shining india ???? ???? ? ?? ???",HOF
??? ??????? ?? ??? ????? ??,NONE
"Chal jhute
#DoctoredPatra",HOF
GOI must take actions against Facebook and Twitter for blocking voices of nationalists.,NONE
?? ???? ???? ??? ?? ???? ??????,HOF
?? ???????? ?? ??? ?????? ????,HOF
"???? ?????? ???? ?? ?? ????? ?? ???? ??? ??????, ???? ?????? ???????? ????? ????",HOF
Fake news reporter,HOF
Sambit le loli pop tu acha kar ta he???????sambit bsdk,HOF
"Then people are dying not due to scarcity of oxygen.. i think they are not even dying. Dead bodies are brought from some ""countries"" to defame Modi ji... shame ...
Disclaimer: bhakts whose English is not good please dont read it else you would like it.",HOF
Kya hua toolkit ka,NONE
"Mr Manipulated Patra #shameonyou, i used to be your fan, but you have lost it fake doctor #fake politician and lier / licker patra",HOF
Laudu lalit,HOF
"?? ?? ?? ??? ??, ?? ?? ?? manipulated ????",HOF
#RememberingRajivGandhi ?? URL,NONE
???? ?????? ????? ?? ???? ???? ?? ????,NONE
"?? ???? ??????? ???? ?????, ?? ????? ????
????? ?? ????? ??? ?? ??, ?? ????? ????...!",NONE
"?????? ,?? ??? ?? ??? ?? ?? ?? ????? ??? ‘???? ? ????’ ?? ??? ??,???? ????? ???????? ??
???? ????? ?? ???? ??? ???? ?? ??? ???? ?? ??? ?? ??? ??? ??? ??

?? ???? ?? ???? ??????? ?? ????? ?????? ?? ??? ????? ??? ????? ??

??? ?? ????? ??? ??? ???? ????? ?? URL",HOF
????? ?? ???? ??? ???? ??? ???-??? ?? ?????? ????? ?? ???? ????? ?? ?? ???? ???? ??????? ?????? ?? ???? ???,HOF
"URL
????? ?? ??? ???? ???? ? | Suryaputra karna whatsapp status | #shorts  short video Mahabharat short",NONE
"URL
Variation Of Parameters || Second Order Linear Differential Equation With Variable Coefficients",NONE
"????? ???
?? ??? ????? ??? ??? ?? ???????? ??? ???? ??
?? ??? ?? ????? ????? ?? ????? ??? ????? ????? ???????? ????? ?????
???? 7 ??? ?? ??? ??? ?? ????? ???? ???? ?????
#BJPToolkitExposed USER",NONE
"??? ???? ?? ??? ?? ??????? ?? ???? ???? ??? ?? ??? ???? ???? ????????
##?? ??? ?? ???????? ?? ?????? ??? ??? ????
????????? ?? ?????? ???? ????? ??? ?? ??? ??, ???? ?????? ????????, ??????????,????? ????????? ??? ???? ??????????? ?? ?? ???? ??? ?? ?????? ??? ???? ?????? ?? ?? ???",NONE
"??????? ?? ?????? ?? ?????...??????...??????? ??? ????? ???????? ??? ?? ??? ??????? ?? ???? ??????? ?? ???? ?? ???? ???? ????? ??????? ?????? ??? ?? ??? ??? ?? ??? ??? ??????? ??? ????? ????
??? ?? ??? ???? ??
?????? ?????????? ?? ??? ??? ????? ???? ??? ?? ???",HOF
"?? ?? ???? ????? ?????? ????? ??? ??????? ?? ????? ??? ??????? ????? ?? ??? ?? ???? ??? ?????? ???? ??? ????? ?? ??? ???
??? ????????? ?? ???? ?? ???????? ???? ??? ? ??????! URL",NONE
"??????? ?? ?????? ?? ?????...??????...??????? ??? ????? ???????? ??? ?? ??? ??????? ?? ???? ??????? ?? ???? ?? ???? ???? ????? ??????? ?????? ??? ?? ??? ??? ?? ??? ??? ??????? ??? ????? ????
??? ?? ??? ???? ??
?????? ?????????? ?? ??? ??? ????? ???? ??? ?? ???",HOF
"???? ??? ????? ?? ????? ????? ?????? ?? ?? ????? ?? ??? ????? ???? ?? ??? ??? ???? ?????? ?? ??????? ?? ?? ??? ?? ????? ??? ???? ???? ?? ???? ?? ?????? ????? ?? ??? ??? ???? ????? ?????? ???? ?? ??? ?? ???? ?? ??????? ?? ????? ??? ??, ?? ????? ?? ???? ???

- ???? USER",NONE
Uncle manipulative media pe kuch kahenge ya bhag gaye,HOF
?? ?? ??? ??? ?? ??? ????? ? ???? ???,NONE
URL,NONE
Dr mashur Gulati aap itna jhoot kyu bolte he,NONE
Mc kya juth bol de,HOF
????,NONE
"Submit Patra ji jindabad
 BJP jindabad????",NONE
?????? ?????? ???? ?????,HOF
Jara Dharatal par jakar to Dekho halat....????,NONE
"???? ?????? ???? ??? ??? ?? ?? , ????, ?????? ??? ??? ?? ?????? ??",HOF
#ManipulatedMedia  ?? ?? ?? ??? ?? ?? ?? ???? ??????,HOF
?? ??? ?? ??? ???? ??? ?? ?????? ?? ??????,NONE
???? ???? ????? ??? ?? ???? ?? ?? ?? ????? ?? ??? ???? ?? ??? ??? ??,NONE
? ?? ??????????? ????,HOF
Tool kit??????,NONE
"??? ??? ???? ????? ?? ??? ?? ?????? ????? .... ??? ???/- ?? ???, ??????? ???/- ?? ???,????? ??/- ?? ??? URL",HOF
#westbengalelection2021 : ????? ??? ????? ?? ?? ??? ????? ?? ?????,NONE
"   
In bhaisahab ke pas data hai palayan karne walon ka shayd inhone 1 lakh likha hai inse zara pooch ke data show karayiye warna farzi data ki baat karke brahmit karne ke liye karyawahi ki jaye",NONE
Gober bhakt palayan bahut jaldi kerte Hain,HOF
Bus ya Or kuch,NONE
???? ???? ?? ?? ??? ?? ??? ?????? ??? ?? ??? ??? ??? ?? ?? ????? ?? ???? ?????? ?? ??? ???? ??? ??????,HOF
Tu Quran Sharif hadees Kala Bhoot aa Raha hai Na gardan kaatne ke liye jihad karne ke liye uthattora,HOF
?? ??? ???? ?? ????? ???? ???? ?? ????? ????? ?? ??? ?? ??? ?????? ?? ??? ??? ?????? ?? ??? ??????? ??? ??????? ?? ???????? ???? ?? ??? ?? ????? ??? ??????,HOF
????? ???? ? ????? ??? ????? ?? ????? ?? ??? ???? ?? ??? ????? ?????? ?,NONE
Thanks giving,NONE
Patra sahab apka toolkit ko phus kar diya gaya aur aap kidhar hai.. apki party kidhar hai... it seems whole party is sleeping.. what has happened to you all..u just shout and move on..,HOF
"??????? ?????? ?? ?????? ????? ????
#????_???_??????_?????",NONE
???????? ??????,NONE
"Want to see on News Debate, where are you sir ji.
Please exposed Congress ToolKit.",NONE
Toolkit ka kya. Huva,NONE
Toolkit Patra????,HOF
???? ?? ????? ????????? ?????????,NONE
"You are an expert in Media Manipulation, nothing else",HOF
?? ?? ???? ?????? ?? ??? ?? ????? ?? ????? ??? ??? ?? ?,NONE
????? ??  ??? ???????? ?? ???????? ??? ???????? ?? ????? ?? ????? ?? ??? ????? ??? ???? ??????? ????? ?? ???? ???? ??.,NONE
"SIR JI MUJHE AISA LAGTA KI CORONA RJD KA HISSA HAI ISLIYE USKA BHI DIMAG KHARAB HAI LALUJI KE PARIWARWALON KI TARAH ,INKE YAHAN JALDI JALDI CORONA KA TIKA PAHUCHAIYE TAB INKE IMUNITY BADHNE KE SATH SATH SOCHNE KI TAKAT BADHEGI KI 2024 MAI AAYEGA TOH MODI HE.",NONE
Definitely this video for u.. MUST WATCH URL,NONE
This is for u.. MUST WATCH URL,NONE
Modi gujrat Jayega,NONE
????? ?? ??? ?? ??,NONE
???? ??????,HOF
What about the victims of post poll violence??? still stillness is disgusting!,NONE
"Tool kit ,tool kit cry the manipulative  people , to divert attention from health pandemic .",NONE
BJP still can’t get over #WestBengal ???? Chanakya is still having heartaches?,NONE
"Modi started with his much awaited crocodile tears
#CrocodileTears",NONE
?????????? ?? ?? ??? ????? ???? ??? ???? ??????? ?? ???? ?? ??????????? ???? ?? ???? ????,NONE
?? ???? ?? ????? ?? ?? ??? ??? ??? ???? ?????,NONE
????? ?? ???????  ????? ??,NONE
jhooth pr jhooth,HOF
Patra ji vidhayko ko saal me 6000rs do fer dakho gujara kase hotaa he,HOF
???? ????? ???????? ?? ??? ?? ????? ?? ???? ?? ?????,HOF
?? ???? tmc ? ?? ?? ????? ?? ???? ?? ???? ?? ??????? ????????? ??????,NONE
"???? ??? ?? ?????? ??,,",NONE
????? ???????? ?? ??????????? 90% ?? ???? ???,NONE
??????????????. ?? ?? #?????? ?? ??? ??? ????? ?? ???? ?? ? ??. Sambit you better be careful. Zor se bolo modi modi ??????,HOF
"Achi baat h ye to sir
Ki mamta ji ki govt h aur center se paise farmers ko milne laga h 
Beauty of democracy",NONE
"??? ??? ?? ????? ??????...
""??????"" ?? ???? ?? ????, 
""????????"" ?? ???? ?? ????..!",HOF
