tweet,Content
"Ask to elaborate on why the violence in Tripura took place.

Why did the VHP and the Bajrang Dal take out rallies in various places in Tripura , especially places in remote areas so that there would not be any police interference in their violence ?

Any bhakt ?",NOT
They get paid like good good sum to create unrest. It's basically tgeir work fir which tgey have got national rewards awards also.,NOT
"Don't know about other places but in my native village a decade ago there wasn't single maszid (or may be 1) but now there are multiple/many and whole day they will keep on using loud speaker.
There count has increased so many times.
Some times it feels scary..",NOT
In ramzaan...whole night. Too sick.,NOT
"For those who are happy over my use of word ""scary""-- sab tumhare baap daadao ki tarah darpok nahi jo bhagwaan badal lengey.
Haan scary hai although many senses- increasing population  is the first and foremost.",NOT
"State had not ""failed"", state has ""sponsored"" it. The more the noose around drug mafia tightens, the more such rioting will be seen.

URL",NOT
Bal Thackeray must be sad in heaven looking at what his party has become,NOT
"Violence or no violence. They can not go on rampage every now &amp; then under the name of some atrocity in India or abroad. There hv been lot of atrocities against hindus in pakistan, bangladesh but hindus hv never protested violenetly. This shd not b tolerated.",HOF
Hindus consider it as their motherland they also but religion is supreme for them. Hindus failed to protect its motherland since Babar invasion because of greed and no unity.,HOF
"When innumerable ""TEMPLES "" we're AND are destroyed and Devastated by some people, They NEVER and EVER felt anything till now, They have a feeling that other religion people have no faith or sence 
Today by hearing FAKE news about their prying place, look what all they are doing",NOT
"Yes, government very greedy since independence only controlling funds of temples only. Not any mosque and church.",NOT
"When Muslims pre planned violence against Hindus and ransacked their places of worship in Bangladesh, the Indian Muslim kept silent. No protest. But based on a fake news about Tripura , Muslims in Maharashtra resort to violence. What sort of a behaviour?",NOT
Target was UP.,NOT
"Sir, it's our fault. When Hindus were killed in Bangladesh, we should have done the same protest with violence over Muslims. Muslims are teaching the same to us over decades, but we people are sleeping over the period.",NOT
Wht happened in Delhi whr rss terrorists  with the help of delhi police  killed  muslims burnt their houses. Was nt that pre planned  #andhbhakt,HOF
"Most of the muslims have religious whatsup public group, one person is a joint of 5-10 such group,
I think the police need to keep an eye on such groups.",NOT
Yes that's why they are active in all riot's,NOT
"Why fake Tripura ( Bangladesh pics ) issue triggered communal riots in #Maharashtra , why not in other states ? When regular offenders sayad Nuri given Fatwa for band overnighted by LIU , #UddhavThackeray #mahaagadi . Was it appeasing politics of dying ally #Congress",NOT
Was it a effect of foolish act by who tweeted ‘Tripura  burning’without checking authenticity of rumours who Resulted  #MaharashtraRiots #MaharashtraViolence #Maharashtra #Amrawati #Congress_Hates_Hindutva #RahulGandhi #Tripuraviolence #TripuraRiots #HinduVirodhiMVA,HOF
"Nice to see that the slogan of UP BJP “ soch imaandar kaaam dumdaar “ has out of four three urdu words , imaandar , kaam and Damdar .",NOT
